docid	type	archive	Item	reference	dateday	datemonth	dateyear	periodstart	periodend	msdate	probateday	probatemonth	probateyear	msprobate	language	notes
287	cheapside gaz	cmh	gaz	p.46		0	1606					0	0		English	
288	cheapside gaz	cmh	gaz	p.46		0	1610					0	0		English	
289	cheapside gaz	cmh	gaz	p.46		0	1630			1622 - 1630		0	0		English	
290	cheapside gaz	cmh	gaz	p.46		0	1638					0	0		English	
291	cheapside gaz	cmh	gaz	p.46		0	1654					0	1654		English	
292	cheapside gaz	cmh	gaz	p.46		0	1640					0	0		English	
293	cheapside gaz	cmh	gaz	p.46		0	1663			1662/3		0	0		English	
294	cheapside gaz	cmh	gaz	p.46		0	1666					0	0		English	
295	cheapside gaz	cmh	gaz	p.54		0	1515					0	0		English	
296	cheapside gaz	cmh	gaz	p.55		0	1515					0	0		English	
297	cheapside gaz	cmh	gaz	p.55		0	1515					0	0		English	
298	cheapside gaz	cmh	gaz	p.55		0	1515					0	0		English	
299	cheapside gaz	cmh	gaz	p.55		5	1515					0	0		English	
300	cheapside gaz	cmh	gaz	p.55		0	1516					0	0		English	
301	cheapside gaz	cmh	gaz	p.55		0	1525					0	0		English	
302	cheapside gaz	cmh	gaz	p.55		0	1527					0	0		English	
303	cheapside gaz	cmh	gaz	p.55		0	1550					0	0		English	
304	cheapside gaz	cmh	gaz	p.55		0	1550			c.1550		0	0		English	
305	cheapside gaz	cmh	gaz	p.55		0	1558					0	0		English	
306	cheapside gaz	cmh	gaz	p.55		0	1524	1522	1524	1522-24		0	0		English	
307	cheapside gaz	cmh	gaz	p.55		0	1548					0	0		English	
308	cheapside gaz	cmh	gaz	p.55		0	1550					0	0		English	
309	cheapside gaz	cmh	gaz	p.55		0	1550					0	0		English	later than docid308
310	cheapside gaz	cmh	gaz	p.55		0	1552	1561		c.1552-feb 1561		0	0		English	
311	parish register	cmh	parish register	parish register		0		1538	1721			0	0		English	date from parish registers as entered/checked by PB and GN @@@@ NB: all subjects of baptism have been coded 'infant'; all subjects of burial have been coded 'isdead'; all subjects of marriage have been coded 'married'; parents in baptisms have been coded 'childrenminor';
312	national tax	clro	MDA collectors' returns 1697-1698 AHHL	clro assessment box 28		0	0	1697	1698	1/5/1697-1/5/1698		0	0		English	totals: marriages: £2 10s; births: £2 6s; burials: £5 6s; bachelors: £1 15s; Total: £11 17s; signed by the collectors; "Exam with a true copy of the register Dugald Stuart surveyor"; total returned: 17s
313	national tax	clro	MDA collectors' returns 1697-1698 SMIL	clro assessment box 28		0	0	1697	1698	1/5/1697-1/5/1698		0	0		English	An account of the money receid on marriages birth burrialles in the parish of St Martins Ironmonger Lane in the Ward of Cheap from the 1st of May 1697 to the first of May 1698@@@@May 12th Anno Dni 1698; These are to certifye all whome itt may concerne that we the assessors here under named have examined this accompt and compaired itt with the Booke of Rates and ffind itt to be a just and true accompt Witness our hands the day and yeare above written [pid7236 + 7240]@@@@Totals: burials £3 8s; births £3 6s; marriages £2 7s 6d; bachelors/widowers £2 8s 6d; total: £11 10s@@@@Exam per Dugald Stuart surveyor with a true coppy of the Register@@@@An account of the returns made by the collectors of marriages etc for the parish of St Martins Ironmonger lane in the ward of cheap for the year 1697
314	national tax	clro	MDA collectors' returns 1697-1698 SMLB	clro assessment box 28		0	0	1697	1698	1/5/1697-1/5/1698		0	0		English	An account of money reced p~suant to an Act of Parliament for a Duty of Births Burials etc  by George Vyne & Jno Smart collectors for ye parish of St Mary le Bow A.D. 1697/8@@@@totals- births £7 6s; burials £6 12s; bachelors/widowers £4 11s; marriages 7s 6d; grand total: £18 16s 6d@@@@Exam with a true copy of the register per Dug Stuart surveyor
315	national tax	clro	poll tax, 1692/3, cordwainer ward	assessment box 32 ms 12		0	1693			4th quarter 1692/3		0	0		English	
316	national tax	clro	poll tax, 1692, cordwainer ward	assessment box 33 ms 4		0	1692			1st quarter 1692		0	0		English	
317	national tax	clro	mda collectors' returns 1697-1698 spsl	clro assessment box 28		0		1697	1698	1/5/1697 - 1/5/1698		0	0		English	St Pancras Soper Lane@@@@ £8 19s@@@@ abut 14s @@@@cleared@@@@An account of the mony received upon marriages births buriall bachelors and widowers in the parish of St Pancras Soper Lane from the first of may 1697 to the first of may 1698@@@@total collected: £1 2s plus 12s 'brought later'@@@@total assessed marriage 5s, burial £2 6s, birth £4 14s, bach/widower £1 14s = £8 19s@@@@Exam with a true copy of the register p Dugald Sturat surveyer@@@@Martis ii Maii 1697 [sic] The within mentioned acct then allowed by us Tho Lane Hump Edwin
318	national tax	clro	mda collectors' returns 1698 - 1699 ahhl	clro assessment box 30		0	0	1698	1699	1/5/1698 - 1/5/1699		0	0		English	Account of mony recd for the duty of marriages etc by the collectors of Alhallows Hony Lane the yere 1698@@@@evidently rough copy (lots of sums worked out)@@@@totals: marriages 0, births £1 12s, burials £3, bachelors £1 11s, total £6 3s
319	national tax	clro	mda collectors' returns 1698 - 1699 SMC	clro assessment box 30		0	0	1698	1699	1/5/1698 - 1/5/1699		0	0		English	£11 8s 0d@@@@ abat £3 19s 6d@@@@ cleared 25 April 1699@@@@A true and perfect accompt of all the monies collected by James Lombaert and Richard Raper arising within the parish of St Mary Colechurch Lonfon in & for the year 1697 [sic] pursuant to the late Act of Parliament for granting to His Matie certain Duties on Marriages Births Burials Batchelors and Widowers@@@@Exam p Dugald Stuart with a true copy of the register@@@@totall of receipes is £11 8s@@@@Examinatur p nos John Walden Steph Locker@@@@Appended: The Returns of James Lomaert and Richd Rapier collectors for the Duties on mariages Births and Burialls the for sd year 1697@@@@Gone before Mr Stuarts Assessmt was brought to ye collectors - this appendix examined by Dugald Stuart; total is £3 19s 6d
320	national tax	clro	mda collectors' returns 1698 - 1699 SMIL	clro assessment box 30		0	0	1698	1699	1/5/1698 - 1/5/1699		0	0		English	St Martin Ironmonger Lane@@@@£10 3s clrd@@@@An Acct of moneys recd of the inhabitants of St Martin Ironmonger Lane precinct in the ward of Cheape London for Burials Births Marriages Batchellers & Widdowers 1698 [year has been changed from 1699 to 1698]
321	national tax	clro	mda collectors' returns 1698 - 1699 SMLB	clro assessment box 30		0	0	1698	1699	29/5/1698 - 29/5/1699		0	0		English	St Mary Le Bow@@@@£24 16s clrd@@@@The Account of Mr James Levett Collr of the Duty of Births Marriages Burialls Batchellrs & Widowers for the pish of St Mary le Bow London from the 29th of May 1698 to the 29 day of may 1699
322	national tax	clro	mda collectors' returns 1698 - 1699 SPSL	clro assessment box 30		0	0	1698	1699	1/5/1698 to 1/5/1699		0	0		English	St Pancras Soper Lane@@@@£10 9s 6d@@@@Cleared 3 October 99@@@@An Acctt of the money received by the collectors of the Duties on marriages births burialls etc in the parish of St Pancras Soper Lane London from the 1st of May 1698 to the 1st of May 1699@@@@Total marriages 2s 6d; total births £4 12s; total burials £4 6s; total bachelors/widowers £1 9s; Grand total £10 9s 6d@@@@Exam p Dugald Stuart surveyor
323	national tax	clro	mda collectors' returns 1704-1705 AHHL	clro assessment box 36 ms4		0	0	1704	1705	1/5/1704 - 1/5/1705		0	0		English	Badly damaged fragment@@@@An Account of the births buryalls wedings batchelers etc of Alhallows Hony Lane from May 1th day 1704 to May 1th 1705@@@@total births £1 10s@@@@total burials £1 16s@@@@total weddings £3 7s 6d@@@@total bachelors £1 8s@@@@Grand total £8 1s 3d
324	national tax	clro	mda collectors' returns 1704-1705 SMLB	clro assessment box 36 ms4		0	1704			1704 - presumably 1704 to 1705		0	0		English	MS damaged@@@@An account of the birth and buriall of the parish of St mary le bow 1704@@@@total births £5 12s@@@@ total burials £12 8s@@@@total bach/widowers £4 19s@@@@total marriages £3 10s@@@@grand total £26 9s@@@@examint p Jno Harwood surveyor
325	national tax	clro	mda collectors' returns 1705-1706 AHHL	clro assessment box 36 ms5		0	0	1705	1706	May ye 1 1705 to may ye 1th 1706		0	0		English	An account of the money received in ye parish of Alhallows Honylane London for births buryalls mariages batchelers & widowers from May ye 1 1705 to may ye 1th 1706@@@@total births £2 14s@@@@total burials £3 4s@@@@total marriages £2 7s 6d@@@@total bach/widower 13s@@@@Grand total £8 18s 6d@@@@July 2d Examd p Jno Harwood surveyr
326	national tax	clro	mda collectors' returns 1705-1706 SMLB	clro assessment box 36 ms5		0	0	1705	1706	no date given - but rest of bundle is 1705 - 1706		0	0		English	An account of the moneys recd in the parish of St Mary le Bow London for Births Buryalls Batchelers etc and Marryages@@@@total births £8@@@@total burials £10 14s@@@@total marriages 10s@@@@total bach/widowers £4 14s; Grand total £23 18s@@@@July 2nd Examint p Jno Harwood surveyor
327	national tax	clro	mda collectors' returns 1705-1706 SPSL	clro assessment box 36 ms5		0	0	1705	1706	May ye 1th 1705 to may ye first 1706		0	0		English	An Account of the money received in the parish of St Pancras Soper Lane London for Births Buryalls Marriages Batchelors & widowers from May ye 1th 1705 to may ye first 1706@@@@total births £2 14s@@@@total burials £3@@@@total marriages 2s 6d@@@@total bach/widowers 10s@@@@grand total £6 6s 6d@@@@July ye 2d Examt p Jno Harwood survyr
328	national tax	clro	mda collectors' returns 1696 AHHL	clro assessment box 39		0	1696			1696		0	0		English	Alhallowes Honylane Money Collected by Jno Percer & Joseph Hardy the year 1696@@@@total marriages £1 5s; total births £2 10s; total burials £1 12s; total bach/widowers £1 16s@@@@This account is perased and cast right John Perier Jos Hardy@@@@this listing has block divisions which until the last 2 follow the 1695 MDA listing exactly
329	national tax	clro	mda collectors' returns 1696 SMC	clro assessment box 39		0	1696			1696		0	0		English	John Walden & Steph Locker their accompt of Receipts upon marriages Births Burials etc St Mary Colechurch @@@@ab 9:6:6@@@@The Accompt of John Walden and Stephen Locker Collectors for the year 1696 of duties arising upon Marriages Births Burialls Batchelors & Widowers within the Parish of St Mary Cole Church London@@@@Received of Jeremiah Garrard the Collector for the last year which he received after the 1st of May 1696 and before these accomptants had received their warrant 19s @@@@Examined p Jeremiah Garrard Robertr Dawson Assessors @@@@ total marriages 2s 6d; total births £4 8s; total burials £2 8s; total bach/widowers £1 9s; grand total £8 7s 6d (or £9 6s 6d including the 19s) @@@@tick marks appear in listings next to all births, burials and marriages but not against bach/widowers - indicate that they've been checked against the register?
330	national tax	clro	mda collectors' returns 1696 SMIL	clro assessment box 39		0	1696			no date given, but rest of bundle is 1696; dates given in listing presumably cover 1695-1696		0	0		English	St Martin Ironmonger Lane @@@@Ab 12:19:6 @@@@An accot of what money is received for births burialls & marriages etc in St Martins Ironmonger Lane parish in the ward of Cheape London @@@@total marriages £3 10s; total births £5 4s; total burials £1 2s; total bachs/widowers £3 3s 6d; grand total £12 19s 6d @@@@ These are to certfie that the above account is true and exactly examined by the Register book and book of Assesmt and is truly cast up Witness our hands this 15th day of July 1697 Wm Rolph one of ye sesers for ye laste yeare @@@@ Deducted for the Collectinge 3s 3d @@@@
331	national tax	clro	mda collectors' returns 1696 SMLB	clro assessment box 39		0	1696					0	0		English	St Mary le Bow @@@@total burials £8 18s; total births £13 6s; total marriages £5 12s 6d; total bach/widowers £3 6s; grand total £31 2s 6d @@@@Appendix/last page: "An Account of those psons that were rated and assessed for Mar Births Burialls And Batchelers and Widowers as are gone" - total 18s
332	national tax	clro	mda collectors' returns 1696 SPSL	clro assessment box 39		0		1696	1697	From the 5th day of May 1696 to the 5th day of May 1697		0	0		English	St Pancras Soper Lane @@@@12s 11d ab @@@@A perticular of wt monies has bin recd in the pish of St Pancras Soper Lane London pursuant to an Act of Parliament granted upon marriages birthes Buryalls Battchellors and widdowers From the 5th day of May 1696 to the 5th day of May 1697 @@@@Some events dated - date of event or date of payment? @@@@ Total burials £2 6s; total births £6; total marriages £2 10s; total bach/widowers £1 15s; grand total £12 11s @@@@We whose names are underwritten doe hereby certifie that the abovesd account is examined by us by the Regist and the bookes of assessemt and doe find it a true acco according to the intent and meaning of the Act of Parliamt witnes our hands the twelvth day of July 1697 James Cart John Peter Lamblois assessors
333	national tax	clro	mda collectors' returns 1706 AHHL	clro assessment box 47 ms 15		0	1706			1/5/1706 - 1/8/1706		0	0		English	Alhallows Honey Lane Three months@@@@ An acct of Births Buriall and marriages from ye 5th day of May 1706 to ye 5th day of Augt 1706 @@@@ Total births 2s; total burials 0; total marriages £1 2s 6d; grand total £1 4s 6d @@@@ Examd p Jno Harwood surveyr
334	national tax	clro	mda collectors' returns 1706 SMC	clro assessment box 47 ms 15		0	1706			1/5/1706 - 1/8/1706		0	0		English	St Mary Colechurch Three Months @@@@ An acct of Births Burialls & Mariages from the first of may 1706 to the first of Augt 1706 @@@@ total births 2s; total burials 0; total marriages 5s; grand total 7s @@@@ Oct 15 Examd p Jno Harwood surveyr
335	national tax	clro	mda collectors' returns 1706 SMIL	clro assessment box 47 ms 15		0	0			no date, but presumably same as rest of bundle		0	0		English	The Parish of St Martin Pomroy in Ironmonger Lane @@@@ Total births 12s; total burials 4s; grand total 16s@@@@ For ye last three months @@@@ Examd p Jno Harwood surveyr
336	national tax	clro	mda collectors' returns 1706 SMLB	clro assessment box 47 ms 15		0	1706					0	0		English	For the Parish of St Mary Le Bow 1706 @@@@ total births 18s; total burials 12s; total marriages £2 5s; grand total £3 15s @@@@ Examd p Jno Harwood surveyor
337	national tax	clro	mda collectors' returns 1706 SPSL	clro assessment box 47 ms 15		0	1706			1/5/1706 - 1/8/1706		0	0		English	St Pancras Soper Lane Three Months @@@@ Ac acct of Births Burialls & Mariages from the first of May 1706 to the first of Augt 1706 @@@@ Total births 4s; total burials 12s; total marriages 0; grand total 16s @@@@ oct 15 Examd p Jno Harwood surveyr
338	national tax	clro	mda collectors' returns SMIL	clro assessment box 47 ms 1		0	0	1695	1706	no date		0	0		English	The acct of the Births Burialls etc for the Parish of St Martin Pomroy in Ironmonger Lane @@@@ total births £4 18s (16s overwritten due to the wm arowsmith addedum); total burials £6 6s; total marriages 2s 6d; total bach/widowers £2 8s; gran total £13 16s 6d @@@@ Examd p Jno Harwood surveyr
339	national tax	clro	poll tax, 1694, cordwainer ward	Assessment Box 20 ms 14		0	1694			1st quarter 1694		0	0		English	1694 poll tax, cordwainer ward (SMLB precinct only) @@@@ Badly damaged @@@@
340	national tax	clro	poll tax, 1678, cordwainer ward	Assessment Box 11 ms 11		0	1678			1678		0	0		English	St Mary Le Bowe Precinct @@@@
341	national tax	clro	poll tax, 1690, cordwainer ward	Assessment Box 7 ms 3		0	1690			1690		0	0		English	St Mary Le Bowe Precinct @@@@
342	inhabitants list	clro	Account of inhabitants Cheap Ward	Misc 87.4 (no.12)		0	0			undated		0	0		English	Date: definitely between 1676 and 1684, probably before 1681 @@@@ An Accot of the Inhabitants of the Presincte of St Mary Le Bowe Cheap Ward @@@@ also a listing for the other 4 precincts @@@@ where it says 'poor' in the inmate column, is it indicating unnamed poor inmates or is it indicating that the 'name' (ie inhabitant) is poor? @@@@ SMLB precinct: "Names 32" "poore 2", signed by pid9379 @@@@ "names 19 poor 2" signed by pid9426 @@@@ "Names 36 poore 4" signed pid9466 @@@@ "names 28 poor 6" signed by pid9504 @@@@ "names 33 poore 3"
343	will	pro	will	Prob 11/385/144v	6	8	1685			6/8/1685 and 1Ja2	16	11	1586		English	revokes existing wills; 3 sheets
344	will	pro	will	Prob 11/450/179v	4	4	1699				12	5	1709		English	revokes previous wills; leaves mark not signature (explicitly stated by 3rd person)
345	will	pro	will	Prob 11/387/340	31	5	1687				14	6	1687		English	sick of body; revokes previous wills; marginal note dated 1689 regarding minority of pid9610
346	will	pro	will	Prob 11/390/151v	19	11	1687			19/11/1687 and 3Ja2		0	0		English	infirm in body; revokes previous wills
347	will	pro	will	Prob 11/359/411	5	1	1674				15	5	1579		English	revokes previous wills; appendix dated 15/5/1679 - pid9624 and 9625 appeared and swore that they were very well acquainted with the deceased and with his handwriting  and had often seen him write and that the verely believe the will is of the proper handwriting; they deposed that on the day of his death they searched among his papers for his will and in a drawer in his compting house they found this will
348	will	pro	will	Prob 11/367/64v	3	3	1678			3/3/1678/9 (last digit like a fraction symbol)	28	6	1678		English	in perfect health
349	will	pro	will	Prob 11/378/125v	27	1	1681			and 33Ch2	7	11	1684		English	sick in body; revokes previous wills;
350	tithe record	clro	1674 SMIL tithe	Assessments Box 46 ms.1	12	8	1674			August the 12th 1674		0	0		English	Whereas the former tith rate on many of the houses within the Parrish of St Martin Pomroy als Ironmongr Lane happeneth to be very unequally laid for the certifieing whereof we who have hereunder subscribed our names having duely considered of the value of each rated house & toft doe according to the power given us by the late Act of Parliament in that behalfe now assesse & sett upon each house & toft belonging to each person hereafter named the same annuall rate & sume of money to be paid in Liew of tithes for each house as against the name of each person is hereaftr described & mencioned @@@@ signed by pid9650, 9658, 9672, 9671, 9681, 9668 and 9682 @@@@ subscribed 21th August 1674
351	tithe record	clro	1675 SMIL tithe	Assessments Box 5 ms.14		0	1675					0	0		English	A list of the tithes on the Parish of St Olave Jewry and St Martin Iremonger Lane London appointed to be assessed by a late Act of Parliament instituted an Act for the better maintenance of the parsons vicars and curates in the parishes burnt by the late dreadfull fire within the Cittie of London as followeth @@@@ St Olave not entered @@@@ signed by pid9719, 9726, 9690, 9711 and 9716
352	tithe record	clro	1682 AHHL tithe	Assessments Box 46 ms.21		0	1682					0	0		English	A new rate in liew of tithe for the incumbent of the parrish of Alhallowes Honey Lane London late consolidated according to the Act of Parliament @@@@ signed by 9741 and 9748 and other (illegible)
353	tithe record	clro	1675 SMC tithe	Assessments Box 5 ms.9	3	12	1675					0	0		English	The severall houses tofts hereditamts persons & inhabitants within the united parishes of St Mildred the Virgin & St Mary Colechuch lying within the ward of Cheape & the Ward of Broadstreet London with the asseasmt & rates thereupon for tythes payable to the rector & minister thereof made Decemb 3 in 1675 by the Alderman Deputies comon councellmen churchwardens & other persons who have hereunto subscribed ther names being appointed & authorized thereto by an Order of the Lord Maior & Court of Aldermen of the 13th of Aprill last in persuance of the late Act of Parliament intituled an Act for the better setlemt of the maintenance of the parsons vicars & curates in the parishes of the City of London @@@@ St Mildred not entered @@@@ Memo regarding the reasons for low assessement of Grocers Hall (presumably St Mildred) @@@@ Md the reasoning it was agreed that Mercers Hall is assessed but at fiveteene shillings p anu to be paid to the Rector for tythes thereof and noe more untill one thousand six hundred eighty one was because the said hall is now onely a toft and building unfinished @@@@ signed by pid9753, 9759, 9783, 9798, 9801 and 9815
354	will	pro	will	prob 11/387/23	26	2	1686			+ 3Ja2	4	5	1687		English	sick and weak in body; revokes former wills; 2 sheets;
355	national tax	lamb	1638 SPSL tithe	Lambeth ms 272 f.298		0	1638					0	0		English	The moderate valuation doth amount in the whole to £968 @@@@ The tithes now paid amount yearly to £36 17s 4d @@@@ Received more for Glebe yearly £12 @@@@ Easter Book £1 8s 8d @@@@ Churchings come commonly to about 16s @@@@ Weddings to about £1 16s @@@@ Burials to 8s 4d @@@@ Sum £16 9s @@@@ So the whole independent means is £53 6s 4d @@@@ The certain annual deductions Tenths yearly £1 7s @@@@ Pension to the cathedral church of Canterbury 7s @@@@ Procurations 7s
356	national tax	lamb	1638 SMIL tithe	Lambeth ms 272 f.222		0	1638					0	0		English	Sum £606 @@@@ Tithes yearly amounts to £40 3s @@@@ maintenance independent: Glebe per ann £20; Easter booke £1 4s; casualties £1 10s; SUM £22 14s @@@@ Deductions and charges: besides to the curate £8; first fruits in whole £12 10s; subsidies yearly [sic] £24 @@@@ The other charges are yearly as followeth: tenths £1 4s 9d; procurations 4s; sum [sic] £1 8s
357	national tax	lamb	1638 SMC tithe	Lambeth ms 272 f.200		0	1638					0	0		English	Richard Cowdal's certificate for St. Marie Colechurch. @@@@ The value of St. Marie Colechurch in London may be £1,000, but the more moderate £800 in particular as it followeth in these columns. @@@@ As concerning the meeting by his Majesty's order enjoyned, it came to nothing; the principals of the city's side did not appear and it seemeth to us ministers that they have no meaning to come to any agreement especially about the valuation of houses though it be ordered by superior authority and with great moderation to be performed. @@@@ The present tithes 44 0 0
Easter Oblations  30 0
Burials, marriages and christenings  30 0
 £47 0 0
Deductions:
I have no glebe nor house to dwell in but such as I hire which stands me in £12 per anm. £13 16 0
Procurations, 6/-
Loss of tithes and houses standing empty. 30/-
rests 33 4 0
358	national tax	lamb	1638 SMLB tithe	Lambeth ms 272 f.193		0	1638					0	0		English	The total of the annual rents 1905 0 0
The tithes issuing out of those ren367	national tax	pro	1582 london subsidy roll, SBA	E.179/251/16		0	1582					0	0		English	PRO E.179/251/16 @@@@ London Record Society Publication: Two Tudor subsidy rolls for the city of London (1993) pp187-94, 271-74; URL: http://www.british-history.ac.uk/report.asp?compid=36141. @@@@ Portsoken ward, part of SBA only @@@@
y)@@@@
parishes only) @@@@

 the Visitation itself. The occupations were almost all added in another hand, as were the comments made at the time of visitation. The dates at the head of each Precinct list may have been written much later, because in each case October was given in error for September. @@@@ Cheap Ward Anno Dni. 1686 @@@@ A Returne made (in pursuance of and according to an Order or precept made by the Right Honoble. Sr John Peak Knt Lord Major of the Citty of London dated the 16th day of December last) of the names of all the Barrts Knts Esqrs Gentlemen &c Inhabiting within the said Ward as followeth
(that is to say) @@@@ St Mary Le Bow Precinct Monday 26 Octob. @@@@ Alhallows honey Lane prcinct Monday 26 Octob. @@@@ St Pancras Sop. Lane prcinct Wednesday 28 Octob. @@@@ St Martin Ironmonger Lane prcinct Tuesday 27 Octob.  @@@@ St Mary Colechurch prcinct Tuesday 27 Octob.
368	national tax	clro	4s in £, 2nd quarter 1694, Cheap Ward	assessment box 9 ms 8		0	1694					0	0		English	The second quarterly paymt of the land tax for the ward of cheape 1694 @@@@ nb - some details are different from those present in docid53 @@@@ total for SMLB: Landlords £87 8s; Tenants £15 19s 6d @@@@ total AHHL: landlords £74 18s tenants £10 12s @@@@ SMIL total: landlords £74 4s tenants £21 15s @@@@ SMC total: landlords £124 3s tenants £19 11s 6d @@@@ SPSL total: landlords £73 18s tenants £12
369	national tax	clro	4s in £, 2nd quarter 1694, Cordwainer Ward	assessment box 9 ms 9		0	1694			2nd quarter 1694		0	0		English	4s in £, 2nd quarter 1694, Cordwainer Ward - SMLB Precinct only @@@@ collectors of the first 4 precincts of this book (inc SMLB) samll thomson and marmaduke isles
370	inhabitants list	clro	List of Lodgers, Cordwainer	Misc ms 87.4		0	0			**CHECK DATE**		0	0		English	SMLB precinct recorded only @@@@ this is a rough document where it is not always clear which lodger is associated with which landlord @@@@ **CHECK DATE** - c1670-1710
371	national tax	clro	Window Tax, Cheap Ward, 1696	ASsessment Box 4 ms 10	25	3	1696			25th March 1696		0	0		English	Window Tax, Cheap Ward, 1696 (CLRO note: "Names of Householders") @@@@ A yearly Assessment of the Inhabitants in Cheap ward Persuant to an Act made the 7th & 8th years of King William for a duty upon houses for making good the defficiency of the clipped mony Beginning ye 25th March 1696 @@@@ Totals: SMLB £13 18s; AHHL £10 16s; SMIL £16 4s; SMC £21; SPSL £13 4s
372	national tax	clro	Window Tax, Cordwainer Ward, 1696	Assessment Box 38 ms 19		6	1696			c. June 1696		0	0		English	SMLB precint only
373	national tax	clro	6 months Tax, Cheap Ward, 1680	Assessment Box25 ms 12	24	8	1680					0	0		English	An Assessment made the fower and twentieth day of August 1680 For the sume of 16 li 10s p mo charged upon the ward of Cheape for the six monthe taxe granted to the Kings most excellent Majtie for disbanding the Armey and for Arrears @@@@ the 2 last quarterly paymts @@@@ assessment records entered in TblAids - cf docid374
374	national tax	clro	6 months Tax, Cordwainer Ward, 1680	Assessment Box 26 ms 3		0	1680					0	0		English	A monthlt Assessmt after the Rate of £48 p Monsem & 50s Arrears £50 10s in all ) Assessed upon the Landlords & Inhabitants for their Rents & psonall Estates in the Ward aforesaid comencing from the 24th Feb 1679/80 unto the 24th August 1680 next following Being in pursuance of an Act of parliamt for granting his Matie the sume of £206462 17s 3d for the Disbanding the Army @@@@ assessment records entered in TblAids - cf docid373
375	national tax	clro	Arrears Tax, Cordainer Ward, 1688	Assessment Box 37 ms 16		8	1688			c. Aug 1688		0	0		English	Cordweyner Ward @@@@ A Tax for the Arrear due to his majesty for the 17 and 18 months Assessment grante380	national tax	clro	18 Month Tax, 2nd/3rd q 1673 Cheap Ward	Assessment Box 24 ms 3		0	1673					0	0		English	The Tax upon the Landlords and Inhabitants of the sev~all precincts of the Ward of Cheape London assessed by the Deputy and Comon Councell of the Ward of Cheape aforesaid ^ in pursuance of the late Act of Parliamt for the raysing of twelve hundred thirty eight thousand seaven hundred and fifty poundes for supply of his Ma^ty which according to a precept from the ho^ble and wor^ll his Ma^ts Commissioners of the Third Day of July last amounts to One hundred and sixty pounds p- mens upon this ward and is for the second and third quarterly paymts thereof particularly as followeth (vizt) @@@@ entered in TblAids @@@@ NB *poss* a few entries for SMIL missing - check page where SMC starts @@@@@ precinct totals: SMLB landlords £10 16s 11d, inhabs £5 14s 10d; AHHL landlords £9 18s 11d, inhabs £4 18s 4d; SMIL landlords £9 1s 8d, inhabs £7 3s 8d @@@@ other precincts not given
381	cheapside gaz	cmh	gaz	p.56		0	1565					0	0		English	
382	cheapside gaz	cmh	gaz	p.56		0	1568					0	0		English	
383	cheapside gaz	cmh	gaz	p.56		0	0	1565	1605			0	0		English	
384	cheapside gaz	cmh	gaz	p.56		0	1597					0	0		English	
385	cheapside gaz	cmh	gaz	p.56		0	0	1605	1607			0	0		English	
386	cheapside gaz	cmh	gaz	p.57		0	1606	1606	1608			0	0		English	
387	cheapside gaz	cmh	gaz	p.57		0	1612					0	0		English	
388	cheapside gaz	cmh	gaz	p.57		0	1630					0	0		English	
389	cheapside gaz	cmh	gaz	p.58		0		1630	1632			0	0		English	
390	cheapside gaz	cmh	gaz	p.58		0	0	1632	1651			0	0		English	
391	cheapside gaz	cmh	gaz	p.58		0	1638					0	0		English	
392	cheapside gaz	cmh	gaz	p.58		0	1652					0	0		English	
393	cheapside gaz	cmh	gaz	p.58		0	1661	1661	1666	1660 or 1661		0	0		English	
394	cheapside gaz	cmh	gaz	p.59		0	1663			1662-3		0	0		English	
395	cheapside gaz	cmh	gaz	p.59		0	1666					0	0		English	
396	cheapside gaz	cmh	gaz	p.59		0	1668					0	0		English	
397	cheapside gaz	cmh	gaz	p.59		0	1677					0	0		English	
398	cheapside gaz	cmh	gaz	p.59		0	1668					0	0		English	
399	cheapside gaz	cmh	gaz	p.59		0	1668					0	0		English	
400	cheapside gaz	cmh	gaz	p.59		0	1544					0	0		English	
401	cheapside gaz	cmh	gaz	p.59		0	1548					0	0		English	
402	cheapside gaz	cmh	gaz	p.59		0	1550					0	0		English	
403	cheapside gaz	cmh	gaz	p.59		0	1565					0	0		English	
404	cheapside gaz	cmh	gaz	p.59		0	1605	1605	1610			0	0		English	
405	cheapside gaz	cmh	gaz	p.59		0	1610					0	0		English	
406	cheapside gaz	cmh	gaz	p.59		0	1626					0	0		English	
407	cheapside gaz	cmh	gaz	p.59		0	1632					0	0		English	
408	cheapside gaz	cmh	gaz	p.59		11	1632					0	0		English	
409	cheapside gaz	cmh	gaz	p.60		0	1633					0	0		English	
410	cheapside gaz	cmh	gaz	p.60		0	0	1634	1649			0	0		English	
411	cheapside gaz	cmh	gaz	p.60		0	1638					0	0		English	
412	cheapside gaz	cmh	gaz	p.60		0	1639					0	0		English	
413	cheapside gaz	cmh	gaz	p.60		0	0	1649	1650			0	0		English	
414	cheapside gaz	cmh	gaz	p.60		0	0	1650	1660			0	0		English	
415	cheapside gaz	cmh	gaz	p.60		0	1651					0	0		English	
416	cheapside gaz	cmh	gaz	p.60		0	1652					0	0		English	
417	cheapside gaz	cmh	gaz	p.60		0	0	1660	1666			0	0		English	
418	cheapside gaz	cmh	gaz	p.60		0	1663			1662-3		0	0		English	
419	cheapside gaz	cmh	gaz	p.60		0	0	1666				0	0		English	
420	cheapside gaz	cmh	gaz	p.60		11	1667					0	0		English	
421	cheapside gaz	cmh	gaz	p.60		0	1544					0	0		English	
422	cheapside gaz	cmh	gaz	p.60		0	1548					0	0		English	
