RECORD	DAT	LRO	CTY	PLA	OSN	PAR	CAT	TYP	EAD	EAT	CMR	VAL	SUM	OSA	COV	AWC	TMD	SCL	SUR	SNM	CLS	CMD	MSS	BAF	MAT	DIM	STT	QUL	TRI	OFF	CHN	COL	RLY	RDS	TPK	ILU	SLU	RLU	QUA	SAN	UTL	MIL	CHH	PUB	PBG	SCH	PRG	RIV	CAN	LAK	HSE	FMY	WDS	PLS	COP	PKS	ARB	GRA	ORC	HPS	GNS	ORN	REC	HTS	CMN	RCK	HAC	SHD	FLD	STP	GLB	HDG	FNC	GAT	ABB	EBB	FBB	OBB	EST	ALL	NMS	NMR	FDN	FAO	FAN	CAR	BOR	NOP	SYM	COM	EXC
PRO 17107	21.07.1995	ERRO IA Bishopsoil	YOE	Bishopsoil Common	Gilberdyke	Blacktoft	-	E	Award at RDB AX/184/5 (with modern copy of map).	SE831294	71 SE, 79 NE, 80 NW		500	1615.71	E	Title says Bishopsoil Common in townships of Blacktoft, Staddlethorpe, Scalby, Clementhorp and Gowthorp, in parish of Blackoft: evidently a fragment only.  Scale and north pointer mixed in with the detail.  Evidently a draft.  Overlaps 17104.  [OSA is for Gilberdyke township.]	01.01.1772	4	Charles Tate				M	A	P	115 X 40/113 - L-shaped.	D	G				BDG - grey buildings.										P - large one.						D																	N										T					Y		F			Y		Y	1			
PRO 18074	16.11.1995	NRO NCR Case 16e/108	NFK	Norwich River	River Yare		-	D		TG382033	161 NE, 162 NW		500		X	Dated 1767 in pencil on the map.  River only, with adjoining owners.   Made for the Commissioners of Sewers.  Accompanying reference not to hand.	03.03.1767	4	Josh. Rumball Junr.				M	X	C	72 X 65 (x 12)	O	G				WDLP - cartouches and bridge dark beige; scales (first and last sheets) grid-with-diagonal on lime-yellow ground, with blue and gold dividers over; direction compasses with red, yellow and blue spikes and golden-yelllow pointers.										P - `an edge foot mill'.	PT - surlingham, witlingham, heigham: shaded grey.										YU																						P				L							XRQX - XSQX - All rococco, beige-grey: Sheet 1: ferocious lion's head at base, cherub with plane table and tape to left, cherub with slab and writing implement to right; two angels in tunics on top, on either side of arms with lion below castle (Norwich); bottom right is an elevation of Hellesdon Bridge, 1 inch to 11 feet.  Sheet 3: rococco-rushy with thistle-like top; Sheet 12: rococco surround growing out of bottom of scale, with elevation of Hardley Cross, 1 inch to 1 ft, bottom left, with a transcript of its inscription.	Y	12	Lion's head, Norwich arms, cherubs, plane table, tape, writing slab and implement, angels, Helllesdon Bridge, Hardley Cross: in or beside CARs.	A few buildings, pictorially, along river. The Thorn (pictorial).	
PRO 18079	16.11.1995	NRO PC 35/16	NFK	Tilney All Saints, Tilney St Lawrence and Islington	Tilney All Saints, Tilney St Lawrence, Tilney cum Islington		P	E	Norfolk RO: BL 6/4, BL 14/75.	TF562170	145 S, 159 N		501	7781.80	X	SUR from award.  Map has been truncated at top, as evidenced by title `Islington'.   Mostly roadside waste.   [OSA: Tilney All Saints, 2592.035; Tilney St Lawrence, 3458.066; Tilney cum Islington, 1731.704.]	01.01.1798	12	John Smith, Packington, Leicestershire				M	A	C	69 X 95	O	G				RD											PS+PT - pt (st lawrence, islington), ps (all saints).					DN																											P - various colours.				L	R			L		R			1			
PRO 13216	16.09.1993	PRO MAF 1/783	BUC	Lee	The Lee		P	E	Bucks RO has the county enrolled copy, IR/36.	SP869046	238 SW	William Brown, Tring, Hertfordshire, Land Surveyor	502.459	502.45	Y		01.01.1855	3	? William Brown		1	17.07.1856	M	A	P	69 X 112	PE	G	Y			S												PN						Y	Y																										T		L		F	F						1		Only a small part of the parish was enclosed, yet the whole was mapped.  The result looks more like a tithe than an enclosure map.  TRI and FBB only apply to the enclosures.  VAL signs map, and his authorship is plausible.	
PRO 16904	22.06.1995	Derbs RO Q/RI 94	DRB	Stretton	Stretton, Clay Cross		-	E		SK396623	112 S		503	1574.44	X	Woolly Moor, Ain Moor, Smithy Moor, Hen Moor, Hollins Green.   Award at Q/RI 1/481.	01.01.1778	6	E.G. [?]  Fletcher				M	A	C	74 X 61	CE	G				WPUX - water grey-blue, footpaths red, direction star shaded grey.		Y	N																														N							Y		S			I					Y					Y	8			
PRO 17430	07.09.1995	Suffolk RO 150/1/3.25	SFK	Reydon	Reydon		P	E	Suffolk (Ipswich) RO: HB 26/412/2104, also /913, /914.	TM501777	176 SE		504.512	2724.32	X	SUR from award.  504:2:2.  ALL and FAN repeated in table.	02.02.1800	8	William Peak, Thorington, Suffolk				M	A	C	78 X 64	O	G-				WUX - allottess, new acreages and some subdivision in red; church shaded grey.												IN																																			L	Y					Y		Y	1			
PRO 11878	19.04.1991	LAO Lindsey Award 201	LIN	Binbrooke Cow-pasture	Binbrook		-	E	PRO enrolled copy is at 12619; original/parish version at 17718.  Also at LAO: photocopy [? ex PRO], MCD 851/9.	TF198938	90 SW		508	5391.31	X	[Packing says is copy made in 1942 from original in parish.]  [Entry revised 7:10:1995.]	01.01.1806	6	Christr Epworth				M	A	-	74 X 47	UT	-				BRGU - adjoining districts various colours.		Y								P																																			C		L	Y		Y			Y			1			X
PRO 12619	23.07.1993	PRO MPL 80	LIN	Binbrooke Cow Pasture	Binbrook		-	E	Lincs AO transcript is at 11877; parish copy is at 17718.  Also at LAO: photocopy [? ex PRO], MCD 851/9.	TF198938	90 SE		508	5391.31	X	Award at PRO CP43/893 [rot. 85].	01.01.1806	6	Chrisr Epworth				M	A	C	59 X 41	PR	G				SDG - i.e. outer boundary.		N																																											T		Y	Y		Y			Y		Y	1			
PRO 13304	22.09.1993	PRO MAF 1/694	CMB	Langwathby	Langwathby		P	E	Cumberland RO has the county enrolled copy, QRE/1/23.	NY587333	24 SE	Philip Nicholson, Carlisle, St Cuthberts Carlisle, Cumberland, Land Surveyor	508	2012.23	X		02.02.1849	3	? Philip Nicholson		1	30.10.1850	M	C	P	172 X 83	PE	G	Y			WCDX - old allotment numbers red.							Q - old.									N		Y			Y															Y							T		T										Y	1		Smith Shop, Almshouses, Stone.  New towship boundary indicated in red.  Two `sykes' are named (SHD).  Attribution to SUR is on grounds of his having made maps: there is nothing particularly otherwise to associate him with this one.	
PRO 17718	09.10.1995	LAO Binbrook Par. Co. 11	LIN	Binbrooke Cow-Pasture	Binbrook	Binbrooke St Gabriel and Binbrooke St Mary	-	E	PRO version is at 12619; Lindsey CC transcript at 11878.  LAO also has a photocopy [? ex PRO], MCD 851/9.	TF198938	90 SW		508	5391.31	X		01.01.1806	6	Chrisr. Epworth				M	A	C	68 X 48	O	G				BRGU - adjoining districts various colours.		N							T - partial.	P																																			C		L	Y		Y			Y		Y	1			X
PRO 16560	23.03.1995	Manchester CL M10/1/7/45	LNC	Ardwick	Ardwick		T	E		SJ861973	85 SE		508.987	508.98	Y	Varnished and flaking: rough note says UFP, which it certainly is.  Scale is 1:1080.	03.03.1826	1.36	Royle and Irwin, Fountain St, Manchester				M	X	C	171 X 186	X	G				B - grey.			NT	R - proposed streets.	Y							PN				N		Y																													Y								Y	1		Ropery, Lime Kiln, Lime Pits, Engine Pit, Print Works, Proposed Lines of Streets with widths in yards, Dye Works, Brewery.	
PRO 12774	11.08.1993	PRO MAF 1/110	BUC	Hitchenden	Hazelmere		P	E	Bucks RO has the county enrolled copy, IR/80.	SU891967	255 NW	Thomas Smith Woolley, South Collingham, Nottinghamshire, Land Surveyor	509	5828.31	X	This is called `Map A', but no map B is present.   [OSA is for Hitchenden.]	01.01.1853	3	William Thomas Heard, Hitchin		1	30.08.1855	M	A	P	156 X 217	PE	G				WE																		Y			Y																								T										Y	1		Hamlet or locality names.	
PRO 12001	24.05.1993	SOM RO Q/RDe 95	SOM	Ilchester Mead	Ilchester [Ilchester Mead]	Ilchester, Stoke-under-Hambden, Tintinhull, Ashington and Lymington	-	E		ST525222	312 N		510	714.14	X	PAR information is from Act; almost all the district is in fact in Ilchester.	01.01.1810	3	T. Tilbrook				M	A	C	74 X 62	CE	G				WE - enclosure information is brown.		Y	N	R												N		Y									N													B								Y		Y			Y		Y	3			
PRO 12085	02.06.1993	SOM RO Q/DRe 166	SOM	Woolavington	Woolavington		P	E		ST352410	295 NE		510	1707.76	X		02.02.1797	4					M	A	C	75 X 63, 75 X 58	CE	OK				X - some lines and writing are red.											PT - with chancel, too.																													B							L	Y		F			Y		Y	3	Coconuts: in north pointers.	North pointers have half-coconut with flowing leaves.  ALL do not apper on the parts showing pastures, which have a `satin' ground, possibly intended as GRA.  Some lines and writing are in red.	
PRO 14535	18.05.1994	Hunts RO Acc. 4248 (part)	HNT	Ramsey - Hern and Gore Commons	Gore Common, Herne Common	Ramsey	-	E		TL252886	172 NW		511	15979.83	X	Recent acquisition from solicitors, and possibly original award; omitted in the pre-war Hunts CC photo programme.  SUR from award.  Area quoted (15979.839) is main part only; there is also 1052.793 det.	01.01.1796	3	Thomas Bloodworth, Kimbolton				M	A	C	65 X 97	O	G				WD - grey water.										P - ? drainage.																																	D		T			Y	Y	Y			Y	Pointed-rococo type, with slim leaves etc outside it.	Y	1	Leaves and petals, around CAR.	Includes allotments to Great Raveley, Bury and Upwood, not mentioned in title.	
PRO 15214	08.08.1994	Ches RO QDE 1/9	CHE	Tarvin	Tarvin [Oscroft, Kelsall]		P	E	Cheshire Record Office also has the parish copy, P9/15/1.	SJ524674	109 NW		511	10828.35	X	Tarvin in Act citied in preamble; manors of Tarvin and Mouldsworth elsewhere, Tarvin and Mouldsworth Commons on maps.  SUR from award; was one of the commissioners.	02.02.1795	4	James Calveley				M	A	C	86 x 72, 66 x 54	CE	G				PUWX - grey title infill and edging, a few allotment numbers in red.		Y	N				S											Y															N							Y		S					L			Y						6		One detached bit on a separate `sheet' with `pins'.	
PRO 16507	21.03.1995	WRRO WRRD Map Vol 3/12	YOW	North Deighton	North Deighton		T	E	NRRO microfilm copy: map MIC 604, award MIC 603.	SE394512	62 SW, 70 NW		511	1475.06	X	Award and map together: SUR not named, but John Lund was one of the commissioners.	02.02.1785	6	? John Lund				M	C	C	71 X 50	RE	G				GJX - former open fields by various colours, and named in red.																N																													T		L	Y		Y	LO		Y		Y	1			
PRO 15043	14.07.1994	Gloucs RO P.185 VE 3/1	WOR	Church Icomb	Icomb		P	R		SP216231	217 SE		513.479	513.47	Y	Said to be in Worcs in title.  With 15042; no explicit note of rating.  [OSA is for Iccomb parish.]	01.01.1847	3	Hitchell and Son				M	X	P	136 x 106	L	G-				SL - no water, but pair with 15042, hence licence.																			Y				A		Y - faded bands + annotation.	Y - faded bands + annotation.																Y									Y	Y			Y	1			
PRO 15014	12.07.1994	Gloucs RO Q/RI 142	GLO	Thornbury	Thornbury		P	E		ST633906	250 E, 251 W		514	10925.16	X	SUR from award; Young Sturge was commissioner.	02.02.1836	4	Jacob Player Sturge				M	A	C	76 x 58, 111 x 64, 130 x 58, 93 x 61, 114 x 86, 69 x 61, 135 x 58, 69 x 58, 65 x 58	CE	G				BRWNP - scale diced grey; new roads pink.		Y	N				Q											Y															N															R	Y	P			R		Y	21		Pound, Wash Pool, embankment (herringbone).	
PRO 11891	30.03.1993	DEVON RO Q/RR1 36	DEV	Leonard Moor, Sampford Moor and Goose Moor	Sampford Peverell [Leonard Moor]	Sampford Peverell, Burliscombe and Goose Moor	-	E		ST050135	310 SE		515	5865.77	X	SUR is from award.  [OSA: Sampford Peverell, 2220.712; Burliscome, 3645.062.]	02.02.1817	4	Charles Chilcott				M	A	C	97 X 75	CE							Y	N															Y																						BT		R			B				Y	Y						3		Bridge named.  Access roads described as e.g. Cottage Road, Orchard Road; road descriptions are thorough.	
PRO 12544	20.07.1993	PR0 MR 670	LNC	Oldham	Oldham	Prestwich	T	E	Lancashire Record Office has the county enrolled copy, AE 6/12.	SD925050	85 E		515	4665.20	X	Award is at PRO KB 122/777 [rot 393].	01.01.1804	3	Joseph Jones, Junior				M	A	C	244 X 130	PR	G				RWN - the various `moors' are different colours.		Y	N	R	Y					X		PN				A	LNT	YN															N		F							P						Y	Y				Y		Y	2		Chapels, Reservoirs, Watering Place, Coal Pit, Cotton Works.  Leaf-like north pointer.	
PRO 15347	18.08.1994	Flint RO QS/DE/20	FLI	Newmarket and Cwm	Cwm, Trelawnyd		Ps	E	Flintshire Record Office also has parish copies, P/16/1/81 (Cwm) and P/64/1/23 (Newmarket).	SJ079782	95 SE, 96 SW		515	4957.59	X	No mention of SUR in award: commissioner was John Matthews.  61:3:14 in Newmarket [OSA 1074.570], about 450 in Cwm [3883.021].	01.01.1821	6					M	A	C	73 X 41, 79 X 80	CE	G				BLPUX - red lot numbers and path letters, the rest grey, including shading of `loose sheets', direction pointer and title; buildings inside enclosure area red, outside hatched.		Y																																	P												L	R	Y				R	`Moelrhuaddug' part title on vaugely rocky ground.	Y	4		Detached bits on `sheets' with `pins'.  Dot-dash divisions between allotments.  Clean-cut job.	
PRO 14783	10.06.1994	Northants RO Inclosure plan no. 42	NTP	Elmington	Elmington Top Lodge		H	E		TL062892	171 NE		516	1848.02	Y	The only enclosure document for this place listed in their cards.  Dated 1838 on back; brief title.   Various pencil additions.  SUM is from tithe data.  [OS acreage is for Ashton, in which this appears to be a hamlet.]	02.02.1838	3					M	A	P	224 X 68	X	G	Y - pecked.			SOU																N			Y																										T			Y			Y		Y			1			
PRO 16897	21.06.1995	Derbs RO Q/RI 52	DRB	Hognaston	Hognaston		L	E		SK236505	124 NE		516	1410.22	X	Hognaston Wynn and Hognaston Oldfield.  Award at Q/RI 77.  Similar style to 16895.  SUR not named in award.	03.03.1774	8					M	A	C	48 X 37	CE	G				RU		Y												TX - scale.																												RS								Y				Extended out of title flourishes: different from the C19 type.		2		Gothic for variety in title and scale.	
PRO 16659	29.03.1995	WRRO D14/45	YOW	Briestwistle	Briestfield	Thornhill	M	E	There is a plan of 1816 in Kirklees RO, EN/BW.	SE224166	77 SE		518	723.18	X	[CAT = H on OS 6" 1st edn.]	01.01.1849	3	J. Thompson				M	A	C	79 X 69, 91 X 65, 90 X 66	O	G				O		Y		R						I				T				Y			YN																					S			T		L	Y	Y	Y			Y		Y	3		Spring, named Well, Pinfold.	
PRO 12012	25.05.1993	SOM RO Q/RDe 98	SOM	Weston Zoyland and Middlezoy	Westonzoyland, Middlezoy		Ps	E		ST339340	295 E, 296 W		520	5861.29	E	[OS acreages:  Westozoyland, 3319.869;  Middlezoy, 2541.329.]	01.01.1833	8					M	A	P	81 X 66	CE	G				RWA		Y																																													L			P	O				Y	1		Coverage overlaps with 12003, due to intermixing.	
PRO 12015	25.05.1993	SOM RO Q/RDe 102	SOM	Martock and Muchelney	Martock, Muchelney		Ps	E	There is another copy in Somerset Record Office, at D/P/mart 20/1/1-MAP.	ST440220	296 SW, 312 NW		520	8817.67	E	Scale and content vary: see COM.  [OS acreages:  Muchelney, 1591.303;  Martock, 7226.369.]	O1.01.1822	6					M	A	C	75 x 83, 36 x 38, 45 x 75, 44 x 53, 90 x 83	CE	G				RWLAX - public and private roads are coloured, as are some sale lots, and some `meads'.		Y	T								ET			F				Y							Y	Y																			H		L	F			O		I		Y	7		One part is at 3 chains, with FBB, ALL and FAN; these three also appear on the first part, of Martock arable fields.   The content varies between the five sheets.  Some parts are subdivided by internal borders, to separate former common fields, which are named in gothic.	
PRO 12215	21.06.1993	DOR RO IA 25	DOR	Briants Piddle	Briantspuddle		-	E		SY819936	328 SE		520	3629.63	E	Knight was Commissioner, and caused the district to be surveyed.   [OSA is for Affpuddle.]	01.01.1839	6*	? John Baverstock Knight				M	A	C	49 X 57	CE	G				SAN																		Y																						B					BH			Y					Y		Includes cased grey band.	1			
PRO 12440	13.07.1993	PRO C 54/9780 [m 13]	GLO	West Littleton	West Littleton		-	E		ST762761	265 NW		520	1013.32	E	This is an enclosure by agreement, not mentioned by Tate & Turner.	01.01.1816	4	Edward Dowding		A		M	A	C	97 X 69	PR	G+				RBOPX - scale and dividers, village green (green).		Y					Q																																	B		S					Y	Y					Y		Green band, `bled' like silk edging.	1	Dividers appear above the scale, with flowers twined around the upper parts.  A splendid acron crowns the north pointer.	Church Yard, stopped-up road.  A much more decorated and pretty map than usual.  Hands point to two destinations; one hand holds some sort of plant.	
PRO 13580	12.11.1993	PRO MAF 1/420	GLO	Upton St Leonards	Upton St Leonards		P	E	Gloucestershire RO also has the county enrolled copy, Q/RI 149, the parish copy, P.347b SD 1/1,2, and another copy, D.2299/1374.	SU461923	234 NE	Robert Fowler Sturge, Bristol, Land Surveyor	520	2985.31	E		02.02.1897	3.16					M	C		145 X 95, 108 X 72	PE					AX - allotment numbers in red.																															Y														T		L				O					2		OS 1:2500 handcoloured FE 1883, 33.7,8,11,12,15,16, 34.5,9, (parts), with annotations.	
PRO 16906	22.06.1995	Derbs RO D3156	DRB	Crich and South Wingfield	Crich, South Wingfield		Ms	E		SK352533	112 SW, 125 NW		520	7113.86	X	Very poor photocopy, probably from faded original, but John Nuttal's style is apparent: cf grass-ground effect.  Award at Q/RI 2/351.  SUR from award: commissioners had supplied to them a survey of 1762 by James Crow and Thomas Marsh, made for the Earl of Thanet.  Tate & Turner give the acreages as 450.0 in Crich and 70.0 in South Swingfield.  [OSA: Crich, 3749.740; South Wingfield, 3364.124.]	03.03.1788	6	John Nuttall				M	A	C	76 X 59	X	G																																																	T		L								Y	1		Grass-ground effect for old enclosure enclaves.	
PRO 15438	07.09.1994	Lancs RO DDPt 25, box 1 - Clayton enclosure	LNC	Clayton-le-Moors	Clayton le Moors	Whalley	M or T	E		SD750309	76 NW		521	1058.90	X	SUR not stated, but Oddie was one of the commissioners, and the style resembles 15436-7.  Scale is stated to be 4, but as acreage is customary,the scale has been altered accordingly.	02.02.1797	5.08	? Matthew Oddie, Colne				M	A	C	83 X 71	X	G				Y		Y	NT				Q											Y																	F - rills.												L	Y	P				Y			1			
PRO 17147	27.07.1995	Hull Uni Lib DDLA/42/3	YOE	North Cliffe	North Cliffe	Sancton	T	E		SE859373	72 SW		521.712	1304.05	X	Enclosure by agreement, so not in Tate & Turner.  SUR was sole commissioner, and had surveys given to him.  Acreages: 319:2:21+151:2:1+27:0:12+23:2:0, = 521:2:34.	02.02.1801	6	? Richard Clark, late of Rothwell Haigh, now of Escrick, Yorkshire, Gentleman		A		M	A	C	78 X 61	O	G-				RWU - canal water grey, ponds uncoloured.																		A																											T		L	Y					Y		Y	1			
PRO 16033	13.12.1994	Wilts RO EA 132	WLT	Hankerton	Hankerton		P	E		ST987906	252 W		522	2202.72	X	SUR from award, though strikingly similar to 16032: John William Biederman was once again commissioner.	01.01.1809	6*	Samuel Wharton, Lincolns Inn Fields, Middlesex				M	A	C	142 X 49, 48 X 37	CE	G				BRO - grey buildings.																N		Y																						B					H		L	Y			L		R			3		Pound.  Hill named.	
PRO 13529	10.11.1993	PRO MAF 1/378	HNT	Keystone	Keyston		P	E	Hunts RO has the county enrolled copy:  ccs Cyl - acc. 1325.	TL034749	186 NE	Charles Bloodworth, Kimbolton, Huntingdonshire, Land Surveyor	523	2690.63	X	This is Map B of this enclosure; for Map A see 13530.	01.01.1850	3					M	B	P	99 X 103	PE	G				SGJX - common pasture.																		Y																				Y													O				Y	1			
PRO 13530	10.11.1993	PRO MA 1/378	HNT	Keystone	Keyston		P	E	Hunts RO has the county enrolled copy:  ccs Cyl - acc. 1325.	TL034749	186 NE	Charles Bloodworth, Kimbolton, Huntingdonshire, Land Surveyor	523	2690.63	X	This is Map A of this enclosure; for Map B see 13529.	01.01.1849	3			1	07.05.1852	M	C	P	95 X 113	PE	G	Y			RCGJ		Y		R																																		Y		B		P			T		L	Y		P	O		Y		Y	1		Boxed scale; map may be different hand compared with 13529.	
PRO 15931	01.12.1994	Warwick RO QS 75/106	WAR	Stonleigh	Stoneleigh		P	E		SP276769	169 SW, 184 NW		523	10031.13	X	SUR from award: commissioners were fairly local, so it's unclear how he was recruited.	02.02.1816	6	Thomas Phillips, Andover Hampshire				M	A	C	103 X 118	CE	G+				RG - whole non-enclosure area is a delicate carmine-pink.		Y												V				Y			YN												N							B					H		L	Y	Y	Y			Y		Y	8		Gothic used for names, particularly of roads, probably more for variety than status.	
PRO 12488	15.07.1993	PRO LRRO 1/3371	DEN	Wrexham - Minera	Minera		-	E	[No trace found at Denbigh or Flint Record Offices.]	SJ275521	121 NE		525	17958.15	X	Evidently a copy; no date or indication what.	03.03.1816	6					M	A	L	73 X 55, 79 X 62, 77 X 62	X	VG				SELN					Y		Q			X								Y			YT - tinted symbols.								S											B					T		L	R					R		Y	3		Smelting House, Engine, Lime Kilns.  A most distinguished map; very different from the other LRRO 1 maps examined in this operation.	
PRO 13326	22.09.1993	PRO MAF 1/671	WML	Dillicar	Lowgill	Kendal	T	E	The county enrolled copy is at Westmorland Record Office, WQR/I 25.	SD617974	39 SE		525	1120.93	E	This is Map B of the Dillicar enclosure, showing the lands in respect of which the allotments have been made; for Map A see 13327.	01.01.1850	4	C. Webster, Surveyor, Kendal				M	A	P	67 X 84	PE	G				O	NS									X						N																																	Y							1		`Copied (with alterations) from the Tithe Map' by SUR.	
PRO 13574	12.11.1993	PRO MAF 1/416	WML	Milburn	Milburn	Kirkby Thore	-	E	The county enrolled copy is at Westmorland Record Office, WQR/I 69.	NY652293	24 SE, 30 NE	Crayston Webster, Kendal, Westmorland, Land Surveyor	525	7957.46	E	This is Map C of the Newbiggin Moor enclosure: for Maps B and A see 13575-6.	01.01.1849	4					M	A	P	66 X 93	PE	G				BRWP - grey buildings and in title.		Y							T - fragmentary.	X											Y																												Y						Y	1		Chapel [of ease], School.  A few fields have tenure noted.  `Copied (with alterations) from the Tithe Map of the Township.'	
PRO 14443	15.04.1994	Cambs RO 1040/P1	CAM	Wisbeach and New Walsoken	Wisbech		-	S	The parent 1:528 of 1853 is at 18202.	TF462098	159 NW		525		X	Deposited by Wisbech borough engneer; much discoloured, making some public building names illegible.  `Map of the town of Wisbech with New Walsoken, reduced from the Board of Health Map and revised and corrected by Charles Mumford, Assoc. Inst. C.E., Town Chamberlain, Surveyor to the Local Board of Health, &c.  1867.  Published by Leach & Son, Wisbeach.'  `T.Way lith 18 Willington St Strand' below scale.	01.01.1867	2					L	X	P	104 X 135	X	G				RWL - discoloured.	YNRST - also coal sheds, turntable (unnamed, in plan), cattle pens, goods shed, timber & goods yard, engine shed; track layouts look comprehensive.		N		Y					D - numerous; includes `eight sail mill' on lynn road (others are plain `windmill').		HIN		C - parish church only, the others being non-gothic.	V	N		Y			YTU						YTU																P							Y					Standidge corners.	1		Various churches and chapels, including parish church named in gothic; various schools, including `Infant &c', Grammar School; Burial Ground, General Cemetery, Public Granary, Public Hall, Cattle Market with pens, Bonding Yards, Gas Works with Gas Holder, Breweries, Brick & Tile Croft, Saw Yard, Castle, Police Station, Old Theatre, Gaol, Workhouse, Market Garden (like ORC), Foundry, Bowling Green, embankments (hachured), numerous (.1 ft) spot heights.	
PRO 15250	10.08.1994	Ches RO QDE 1/31	CHE	Alsager	Alsager	Barthomley	T	E	Cheshire Record Office also has another copy,  LUAs/3190/1.	SJ790557	110 SW, 123 NW		525	2240.82	E	Alsager Heath.  SUR from award.	02.02.1834	6	Charles Smith				M	A	C	72 x 58	CE	G				RNP - border, title lettering and cartouche all shaded grey.		Y					M					IN						N - water-ruling.				YN				S - covers all old enclosures.			S - thin.																T					Y				Oval of hyacinths round title.	Ball-and-half trefoil, shaded grey.	1		Pinfold, School.	
PRO 15498	12.09.1994	Powis RO MQS/RA/4	MTG	Trelystan	Trelystan		T	E	National Library of Wales has a microfilm copy of the county enrolled version.  There is another `county' copy of the award and map: Powis RO MQS/RA/34.	SJ268039	151 SE		525	1237.06	E	Drawn directly onto award.   Outer boundary and some roads mapped.  [This is one of the `Aberhafesp' group, most of which state that the commissioners caused maps to be made, but none of which, that I can find, names a SUR.  Chapman gives successively Richard George, Montgomery; John Humphreys, Tyn-y-Coed; and John Evans and William Pugh.  All are in the same style and might be by the same hand.]	01.01.1803	6*					M	A	C	56 X 75-79 - protrusion at bottom.	CE	G				RADEN																																											T		T		L									1		Stone, Seven Wells, Beacon Ring (with circular herringbone).	
PRO 15587	18.10.1994	Westml RO WQR/I 87	WML	Temple Sowerby	Temple Sowerby	Kirkby-thore	-	E	A `private' copy is described at 15779.	NY621258	30 NE		525	1241.23	X	Similar to 15582, etc.  CAT is T on OS 6-inch 1st edition.	01.01.1774	4*					M	A	C	86 X 71	CE	G-																				AN																																Y					Y			1			
PRO 15640	20.10.1994	Westml RO WQ/R/C 2	WML	Dillicar	Lowgill	Kendal	T	T		SD617974	39 SE		525	1120.93	E	Same author as 15638, but unlike that map, this one carries a certification from the commissioners (John Watson and Henry Teal) that the map has been deposited for public inspection, that no objections have been received, and that they therefore confirm it.	01.01.1835	4					M	X	P	76 X 88	CE	G-				BWOP - grey buildings and title infill.										XN						N					Y												N													Y			Y							1			
PRO 15714	28.10.1994	Cumb RO QRE/1/45	CMB	Stainburn	Stainburn	Workington	M and T	E	Cumberland RO has another copy, D/Cu/5/22.	NY030282	28 NE		525	1228.13	X	SUR says he made survey: in his style, with sale prices.  CAT on OS 6-inch 1st edn is T.	01.01.1814	6	John Norman, Kirkandrews upon Eden, Cumberland, Gentleman				M	A	C	71 X 58	CE	G				RGPX - lot numbers red; north pointer is halberd type, blue with crimson `ring'.																																	N														L	Y					Y		Y	1			
PRO 15779	02.11.1994	Cumb RO D/MBS/1/36	WML	Temple Sowerby	Temple Sowerby	Kirkbythore	T	E	The county enrolled copy is at 15587.	NY621258	30 NE		525	1241.23	X	Can't find mention of SUR in award.  Differs noticeably from 15587.	02.02.1774	3.5					M	A	C	100 X 83	X	G				WOP - cartouche grey-beige, water and north pointer shading a sort of grey-kharki-yellow.																AN																															L	Y					Y	XRQX - Rococco rectangular/mirror type, with small enclosure at top.	Y	1		Scale has link-diagonals: graduation wonky.	X
