claims_id	struct_idx	county	phillimore	vill	holding	ten_in_chief	lord_86	overlord_66	lord_66	claimant	defendant	jurors	xref	notes	text
1340	17369	YC	CE31	Lowthorpe	4 carucates	Gamal	Gamal	-	Northmann & Asa	Richard of Sourdeval	Gamal	[East Riding Burton Wapentake]	"29E13. SE,Bt3"	In DB Gamal held the 4 carucates claimed by Richard; but in YS it was aggregated with another royal holding in Lowthorpe (1E31) as royal land; see also CE15;26.	"For copyright reasons, the text for Yorkshire cannot be displayed."
1360	17370	YC	CE32	Skirpenbeck & {Scardiztorp}	8 carucates & 6 bovates	Odo the bowman	Odo the bowman	-	Orm & Bondi	Odo the bowman	King William	[East Riding Acklam Wapentake]	"26E8;10. SE,Ac7-8"	DB & YS both attribute the holdings to Odo the bowman; DB names his predecessors and Orm and Forni.	"For copyright reasons, the text for Yorkshire cannot be displayed."
1380	17371	YC	CE33	Risby & Walkington	14 carucates & 1 bovate	Archbishop of York	Canons of York & Canons of Beverley	-	Archbishop of York	Archbishop of York	Gamal?	[East Riding Welton Wapentake]	"2E4. 2B4. SE,Wel5"	"Gamal is not mentioned in the DB entries; but a Gamal, presumably the same man, held a carucate in Walkington in 1086 (29E24)."	"For copyright reasons, the text for Yorkshire cannot be displayed."
1400	17372	YC	CW1	Thorner	8 carucates	Osbern of Arques	Osbern of Arques	-	Wulfbert <of Thorner>	Osbern of Arques	Ilbert of Lacy	[[West Riding ] Barkston & `Skyrack' Wapentakes	"9W12. SW,Sk8"	"No Wulfbert is recorded on Osbern's fief, or indeed in the West Riding. If this is not a scribal error (see CW4), he may therefore have been the overlord of some, if not most, of the pre-Conquest landowners named in Osbern's fief; see also CW36."	"For copyright reasons, the text for Yorkshire cannot be displayed."
1420	17373	YC	CW2	Yeadon & Oglethorpe & Hazelwood [Castle]	4 carucates & 12 bovates	King William & Count of Mortain & William of Percy	King William & Nigel Fossard & Malger	-	Gamal & Grim & Esger <of Oglethorpe> & Gamal son of Asmund & Arnketil	Robert Malet	King William & Count of Mortain & William of Percy	[[West Riding ] Barkston & `Skyrack' Wapentakes	"1W19. 5W7. 13W3. SW,Sk17. SW,BA3"	TRE owners not named in some entries. See also CE34.	"For copyright reasons, the text for Yorkshire cannot be displayed."
1440	17374	YC	CW3	Stutton & Tadcaster & [North] Milford [Hall] & {Neuhuse} & Toulston & Ryther & {Saxehale} & Lead & Newton [Kyme]	20 carucates & 2 bovates & 1 mill & 1 arable holding	[various]	[various]	-	Thorkil & Wulfstan & Ketil & Ligulf & Thorn	Robert Malet	Ilbert of Lacy	[[West Riding ] Barkston & `Skyrack' Wapentakes	"5W7. 9W19;24;31;33. 13W2;4. 25W28-29. SW,BA3-6;8-9"	"Problem. 5W7 & 9W19;24;31;33 & 13W2;4 & 25W28-29 & SW,BA3-6;8-9. See also CE34."	"For copyright reasons, the text for Yorkshire cannot be displayed."
1460	17375	YC	CW4	Birkin	1 carucate	Ilbert of Lacy	Gamal	Ulf	Aelfric	Ilbert of Lacy	Gilbert of Ghent	[[West Riding ] Barkston & `Skyrack' Wapentakes	"9W26. SW,BA7"	Aelfric named as TRE holder in 9W26 so Ulf was presumably his overlord. A scribal error is possible; but there are too many such discrepancies between DB and the Claims to attribute them all to errors.	"For copyright reasons, the text for Yorkshire cannot be displayed."
1480	17376	YC	CW5	Tadcaster	-	William of Percy	William of Percy	-	Thorkil	Robert Malet?	William of Percy	[[West Riding ] Barkston & `Skyrack' Wapentakes	"13W1. SW,BA12. CW3"	Perhaps implying that Malet was rightful owner (cf CW3)	"For copyright reasons, the text for Yorkshire cannot be displayed."
1500	17377	YC	CW6	Weardley & [East] Rigton & Compton	-	Ligulf?	Ligulf?	-	Ligulf	Ligulf?	Richard of Sourdeval	[[West Riding ] Barkston & `Skyrack' Wapentakes	"28W30. 29W24. SW,Sk3"	"Ligulf still held in 29W24 in 1086 (and possibly in 28W30 where the holder is unnamed), Gospatric sharing half these holdings (SW,Sk3). A Ligulf was a predecessor of Richard. Since Compton is not recorded in DB or YS the implication of all this is unclear"	"For copyright reasons, the text for Yorkshire cannot be displayed."
1520	17378	YC	CW7	Clifton	2 carucates	William of Warenne	William of Warenne	-	Siward	Roger of Bully	William of Warenne	[[West Riding ] Strafforth Wapentake	12W1;3?	Not in YS; Siward not named in DB entries	"For copyright reasons, the text for Yorkshire cannot be displayed."
1540	17379	YC	CW8	Clifton	4 bovates	William of Warenne	William of Warenne	-	Brune	King William	William of Warenne	[[West Riding ] Strafforth Wapentake	12W1;3?	"Not apparently in YS, nor on royal fief; Brune not named in DB entries;"	"For copyright reasons, the text for Yorkshire cannot be displayed."
1560	17380	YC	CW9	Barnbrough	6 carucates	William of Warenne	William of Warenne	-	Earl Harold	Roger of Bully?	William of Warenne	[[West Riding ] Strafforth Wapentake	"12W1. SW,Sf9"	"No holding in Barnborough attributed to Warenne in YS but 6 carucates in Barnborough and Bilham House are accorded to Roger of Bully there (SW,Sf9; also 10W15)."	"For copyright reasons, the text for Yorkshire cannot be displayed."
1580	17381	YC	CW10	Wilsic [Hall]	15 acres	William of Warenne	William of Warenne	-	Earl Harold	Roger of Bully?	William of Warenne	[[West Riding ] Strafforth Wapentake	12W1	"Not separately noticed in YS but possibly included in SW,Sf9 (see CW9 note)"	"For copyright reasons, the text for Yorkshire cannot be displayed."
1600	17382	YC	CW11	[Kirk] Sandall	7 bovates & 1 church	William of Warenne	William of Warenne	-	Alwin & Sotakollr	Nigel Fossard	William of Warenne	[[West Riding ] Strafforth Wapentake	"5W30. 12W1. SW,Sf1;34"	Mortain and Warenne held in Sandal but other details (including Alwin's and Sotakollr's names) of these holdings are not individually recorded in either DB or YS; they are probably subsumed 12W1 as the Mortain holding is only 1/2 carucate.	"For copyright reasons, the text for Yorkshire cannot be displayed."
1620	17383	YC	CW12	[Kirk] Bramwith	4 bovates	William of Warenne	William of Warenne	-	Ulfkil	Nigel Fossard	William of Warenne	[[West Riding ] Strafforth Wapentake	"12W1. SW,Sf1"	"Warenne held in Bramwith but other details (including Ulfkil's name) of this holding are not individually recorded in either DB or YS; they are probably subsumed in 12W1 & SW,Sf1."	"For copyright reasons, the text for Yorkshire cannot be displayed."
1640	17384	YC	CW13	Tudworth [Green] & Stainforth & Fishlake	1 1/4 bovates & 4 plots	William of Warenne	William of Warenne	-	Ulfkil & Northmann	William of Warenne	Nigel Fossard	[[West Riding Strafforth Wapentake]	"12W1. SW,Sf1"	"Warenne held in all 3 vills but other details (including Ulfkil's & Northmann's names) of these holdings are not individually recorded in either DB or YS; they are probably subsumed in 12W1 & SW,Sf1."	"For copyright reasons, the text for Yorkshire cannot be displayed."
1660	17385	YC	CW14	Loversall & Edenthorpe	1 carucate & 2 bovates	Count of Mortain & William of Warenne	Nigel Fossard & William of Warenne	-	Wulfmer & Swein	Nigel Fossard & William of Warenne	Fulco of Lisors	[[West Riding Strafforth Wapentake]	"5W8. 12W1. SW,Sf1;21"	Warenne and Mortain held in these vills but other details (including Wulfmer & Swein's names) are not individually recorded in either DB or YS. Fulco was a tenant of Roger of Bully elsewhere in DB but Roger had no holdings in the vills.	"For copyright reasons, the text for Yorkshire cannot be displayed."
1680	17386	YC	CW15	Cantley	1 carucate	Geoffrey Alselin	Geoffrey Alselin	-	Alsi	Roger of Bully	Geoffrey Alselin	[[West Riding Strafforth Wapentake]	"18W2. SW,Sf21"	"The only holding in Cantley was the 1 carucate held by Geoffrey Alselin. This Delphic statement presumably hides a claim by Roger of Bully who acquired 6 other holdings from an Alsi in Strafforth, presumably the same individual."	"For copyright reasons, the text for Yorkshire cannot be displayed."
1700	17387	YC	CW16	Loversall	4 bovates	Geoffrey Alselin	Geoffrey Alselin	-	Toki (son of Auti)	Geoffrey Alselin	Count of Mortain	[[West Riding Strafforth Wapentake]	"5W8. SW,Sf21"	Only Mortain is recorded as holding in Loversall so this statement presumably implies a claim by him. Other details (including Toki's name) of the holding are not individually recorded in either DB or YS	"For copyright reasons, the text for Yorkshire cannot be displayed."
1720	17388	YC	CW17	-	-	Roger of Bully & William of Percy	Roger of Bully & William of Percy	-	Northmann	Roger of Bully? & William of Percy?	Roger of Bully? & William of Percy?	[[West Riding Strafforth Wapentake]	10W16 and 13W6-7;9-11	"The implication of this statement is not apparent; but Roger of Bully acquired 1 holding from a Northmann in Strafforth Wapentake & William of Percy several others, but no one else, so a claim involving these two men is possible."	"For copyright reasons, the text for Yorkshire cannot be displayed."
1740	17389	YC	CW18	Wadworth & Stancil	1 carucate & 14 bovates	Roger of Bully	Roger of Bully	-	Siward	Nigel Fossard	Roger of Bully	[[West Riding Strafforth Wapentake]	"10W2. Sw,Sf3"	"Roger of Bully held the 12 carucate vill of Wadworth, acquired from Siward and Toki. This claim and that in CW19 amount to 12.25 carucates. Stancil is not recorded in DB or YS (?an error for Stainton, also acquired by Bully from Siward: 10W3;5 & SW,Sf3-4)"	"For copyright reasons, the text for Yorkshire cannot be displayed."
1760	17390	YC	CW19	Wadworth	10.5 carucates	Roger of Bully	Roger of Bully	-	Toki (son of Auti)	Geoffrey Alselin	Roger of Bully	[[West Riding Strafforth Wapentake]	"10W2. Sw,Sf3"	This and the previous claim (CW18) amount to 12.25 carucates; Wadworth is 12 carucates in DB and YS. Toki was the predecessor of Geoffrey Alselin for all but a handful of his holdings; this is one of the few holdings of Toki not acquired by Geoffrey.	"For copyright reasons, the text for Yorkshire cannot be displayed."
1780	17391	YC	CW20	[Great] Houghton	6 bovates	Count of Mortain	Richard of Sourdeval	-	Godhyse	King William	Count of Mortain	[[West Riding Strafforth Wapentake]	"5W17. SW,Sf30"	The Count of Mortain is recorded as holding this and other parts of Houghton in both DB and YS; it does not occur on the royal fief.	"For copyright reasons, the text for Yorkshire cannot be displayed."
1800	17392	YC	CW21	Hexthorpe	9 bovates	Roger of Bully	Fulco of Lisors	-	Wulfstan	Nigel Fossard	Roger of Bully	[[West Riding Strafforth Wapentake]	"10W27. SW,Sf20"	"Nigel Fossard held Hexthorpe from the Count of Mortain (5W8 & SW,Sf21) so his claim may refer to the 9 bovates in Marr held by Fulco of Lisors of the jurisdiction of Hexthorpe."	"For copyright reasons, the text for Yorkshire cannot be displayed."
1820	17393	YC	CW22	Adwick [le Street]?	-	Roger of Bully	Fulco (of Lisors)	-	Swein of Adwick [le Street]	Archbishop of York	Roger of Bully?	[[West Riding Strafforth Wapentake]	"10W39-40. SW,O2"	"If this statement relates to land held by Swein in Adwick, then it refers to Roger of Bully's holding in the vill. The 7 carucates and 3 bovates in Adwick and its dependency are probably those in YS under Osgodcross though the total there is 1 bovate less"	"For copyright reasons, the text for Yorkshire cannot be displayed."
1840	17394	YC	CW23	Morley & Wakefield	alms	Ilbert of Lacy	Ilbert of Lacy	-	King Edward & Dunstan <of Swillington>	Ilbert of Lacy	King William	[West Riding Morley Wapentake]	"1Y15. 9W118. SW,Ag9. SW,M1"	"Ilbert held the manor of Morley and the king the manor of Wakefield, which may account for this pronouncement."	"For copyright reasons, the text for Yorkshire cannot be displayed."
1860	17395	YC	CW24	Steeton [Hall] & Colton & Catterton	3 carucates & 5 bovates	Osbern of Arques	Osbern of Arques & 2 men & Fulco	-	Arnketil son of Wulfstan	Robert Malet	Osbern of Arques	[West Riding Ainsty Wapentake]	"25W1;3;6. SW,An4;6;8"	"The individual details of Arnketil's holdings in these vills are not given, being subsumed among those for other pre-Conquest lords; but these are evidently the entries referred to. See also CE34."	"For copyright reasons, the text for Yorkshire cannot be displayed."
1880	17396	YC	CW25	`Haggenby'	3 carucates	William of Percy	Everard (of Leathley)	-	Arnketil son of Ulf	Robert Malet	William of Percy	[West Riding Ainsty Wapentake]	"13W16. SW,An7"	The DB entry states that the jurisdiction of all 3 carucates lay in Healaugh; but CW40 tends to confirm the statement made here. See also CE34.	"For copyright reasons, the text for Yorkshire cannot be displayed."
1900	17397	YC	CW26	-	4 1/2 carucates	Osbern of Arques	Osbern of Arques	-	Northmann son of Maelcolumban	William of Percy	Osbern of Arques	[West Riding Ainsty Wapentake]	?	A Northmann held 3 carucates in 25W21;26 but these lay in 'Burghshire' Wapentake; none of Osbern's holdings in Ainsty (25W1-19) clearly match this statement	"For copyright reasons, the text for Yorkshire cannot be displayed."
1920	17398	YC	CW27	Colton & Steeton [Hall]	13 bovates	Osbern of Arques	Osbern of Arques	-	Godwin son of Edric	Robert Malet	Osbern of Arques	[West Riding Ainsty Wapentake]	"25W1;3. SW,An4;6"	"The individual details of Godwin's holdings in these vills are not given, being subsumed among those for other pre-Conquest lords; but these are evidently the entries referred to. See also CE34."	"For copyright reasons, the text for Yorkshire cannot be displayed."
1940	17399	YC	CW28	Askham [Richard]	1 carucate	Osbern of Arques	Osbern of Arques	Ulf the deacon	Aldred & Svartkollr	Robert Malet	Osbern of Arques	[West Riding Ainsty Wapentake]	"25W15. SW,An11"	"The DB entry names Aldred & Svartkollr as the pre-Conquest holders. If this is not a scribal error (see CW4), Ulf was either their overlord or an intermediate holder. See also CE34."	"For copyright reasons, the text for Yorkshire cannot be displayed."
1960	17400	YC	CW29	Colton	7 bovates	Osbern of Arques	Osbern of Arques	-	Wulfstan the priest	Robert Malet	Osbern of Arques	[West Riding Ainsty Wapentake]	"25W3. SW,An6"	"The individual details of Wulfstan's holding in this vill is not given, being subsumed among those for other pre-Conquest lords; but this is evidently the entry referred to. See also CE34."	"For copyright reasons, the text for Yorkshire cannot be displayed."
1980	17401	YC	CW30	[Palla]thorpe & {Mulehale}	1 1/2 carucates	Landric (of Hornby)	Landric (of Hornby)	-	Northmann	Robert Malet	Landric (of Hornby)	[West Riding Ainsty Wapentake]	29W27-28?	"Neither Landric or Northmann held in these vills, neither of which has holdings of the stated size. The 1/2 carucate might be that held by Landric in Bishopthorpe (29W27); Acaster is the only other holding of his in Ainsty (29W28). See also CE34."	"For copyright reasons, the text for Yorkshire cannot be displayed."
2000	17402	YC	CW31	Hornington [Manor]	15 bovates	William of Percy	William of Percy	-	Healfdene & Oddi & Alwin	Robert Malet	William of Percy	[West Riding Ainsty Wapentake]	"13W7. SW,An7"	Healfdene is named in the DB entry but not Oddi or Alwin; the individual details of holdings in the vill are not given; but this is evidently the entry referred to. See also CE34.	"For copyright reasons, the text for Yorkshire cannot be displayed."
2020	17403	YC	CW32	Scagglethorpe & Poppleton	6 1/2 carucates	Osbern of Arques	Ermenfrid <of Poppleton>	-	Ernwin Cat's Nose	Robert Malet	Osbern of Arques	[West Riding Ainsty Wapentake]	"25W13;16. SW,An12"	"Despite the reference to the Poppleton of 25W13 only, since the DB total with Scagglethorpe is 6 1/2 carucates. See also CE34."	"For copyright reasons, the text for Yorkshire cannot be displayed."
2040	17404	YC	CW33	Bolton [Percy]	5 carucates	William of Percy	Roscelin	-	Ligulf	Geoffrey Alselin	William of Percy	[West Riding Ainsty Wapentake]	"13W12. SW,An4"	Ligulf's share of the 8 carucates of the DB entry is not given; but this is evidently the entry referred to. Geoffrey's manor of Healaugh is recorded in 18W3. Neither entry refers to this jurisdiction.	"For copyright reasons, the text for Yorkshire cannot be displayed."
2060	17405	YC	CW34	Walton	12 bovates	Osbern of Arques	Osbern of Arques	-	Godwin	Geoffrey Alselin	Osbern of Arques	[West Riding Ainsty Wapentake]	"25W9. SW,An9"	"Godwin's land in Walton is not separately recorded in DB or YS but was presumably included in the 9 carucates held by 6 thanes, the only recorded holding in Walton. Neither this entry nor Geoffrey's (18W3) mentions the jurisdiction."	"For copyright reasons, the text for Yorkshire cannot be displayed."
2080	17406	YC	CW35	Bolton [Percy]	-	William of Percy	William of Percy	-	{Ligulf} & Thorkil & Ernwin	Robert Malet	William of Percy	[West Riding Ainsty Wapentake]	"13W12. SW,An4"	Both DB and YS attribute Bolton to William of Percy. See also CE34.	"For copyright reasons, the text for Yorkshire cannot be displayed."
2100	17407	YC	CW36	Appleton [Roebuck]	"12 carucates"""	Osbern of Arques	Osbern of Arques	-	Wulfbert <of Thorner>	Osbern of Arques	-	[West Riding Ainsty Wapentake]	"25W2. SW,An4"	"No Wulfbert is recorded on Osbern's fief, or indeed in the West Riding. This, and the reference to 'all the other lands', raises the possibility that Wulbert was the overlord of some, if not most, of the pre-Conquest landholders named; see also CW1;4"	"For copyright reasons, the text for Yorkshire cannot be displayed."
2120	17408	YC	CW37	Steeton [Hall] & Hornington [Manor] & Oxton & [Palla]thorpe & Colton	3 1/2 carucates & 13 bovates	Count of Mortain	Nigel Fossard	-	Ulfkil Sveinnbrothir	Ulfkil Sveinnbrothir?	Count of Mortain	[West Riding Ainsty Wapentake]	"5W35. SW,An5"	"Ulfkil is not named in DB or YS. If not a scribal error (see CW4), he may have been the overlord of those who are named. [Palla]thorpe is the only holding attributed to the Count. The others probably lay in 25W1, 13W17, 25W5, & 25W3 respectively"	"For copyright reasons, the text for Yorkshire cannot be displayed."
2140	17409	YC	CW38	[Nun] Monkton	4 bovates	Osbern of Arques	Osbern of Arques	-	Merleswein	Ralph Payenel	Osbern of Arques	[West Riding `Burghshire' Wapentake]	"25W20. SW,Bu1"	"The only holding in Monkton was of 8 carucates, held by 5 thanes. Merleswein is not named so if not a scribal error (see CW4), he was presumably overlord of one or more of them; he was Ralph's predecessor on almost all of his manors."	"For copyright reasons, the text for Yorkshire cannot be displayed."
2160	17410	YC	CW39	-	-	Archbishop of York	Canons of Beverley	-	Canons of Beverley	Canons of Beverley	Drogo of la Beuvriﬁre	West Riding	2.00E+33	Drogo's depredations are recorded in only one entry in DB.	"For copyright reasons, the text for Yorkshire cannot be displayed."
2180	17411	YC	CE34	-	-	Drogo of la Beuvriﬁre	Drogo of la Beuvriﬁre	-	-	Robert Malet	Drogo of la Beuvriﬁre	[East Riding] Holderness	-	"None of the lands held by William Malet in YKS were acquired by his son though the jurors evidently thought he was the rightful heir: see ANS XXII (2000), 261-77."	"For copyright reasons, the text for Yorkshire cannot be displayed."
2200	17412	YC	CE35	Brandesburton	1 carucate	Drogo of la Beuvriﬁre	Drogo of la Beuvriﬁre	-	Aldwif & Ulf & his brother & Ulfkil	Robert Malet	Drogo of la Beuvriﬁre	[East Riding Holderness]	"14E31. SE,Hol22"	This must refer to Drogo's 12.5 carucates in Brandesburton which names Ulf and Ulfkil but not Aldwif. If not a scribal error (see CW4) Aldwif was perhaps overlord of one of the 7 named pre-Conquest lords. See also CE34.	"For copyright reasons, the text for Yorkshire cannot be displayed."
2220	17413	YC	CE36	{Luuetotholm}	1 carucate	Drogo of la Beuvriﬁre?	Drogo of la Beuvriﬁre?	-	Lovettot	Robert Malet	Drogo of la Beuvriﬁre?	[East Riding Holderness]	-	This holding does not appear in DB or YS See also CE34.	"For copyright reasons, the text for Yorkshire cannot be displayed."
2240	17414	YC	CE37	{Chenuthesholm}	1 carucate	Drogo of la Beuvriﬁre?	Frank (of Falconberg)?	-	Cnut	Robert Malet	Drogo of la Beuvriﬁre?	[East Riding Holderness]	"14E37. SE,Hol23?"	Not included in DB and YS though the discrepancy between the 5 1/2 carucates of Rise in DB & YS and 7 1/2 in the Claims (CE39) may possibly conceal this holding. See also CE34.	"For copyright reasons, the text for Yorkshire cannot be displayed."
2260	17415	YC	CE38	Catfoss [Hall]	6 carucates	Drogo of la Beuvriﬁre	Frank (of Falconberg)	-	Cnut	Robert Malet	Drogo of la Beuvriﬁre	[East Riding Holderness]	"14E33;SE,Hol22"	Both holdings of a Cnut - presumably the same individual - in Holderness were claimed for the Malets but he was not their predecessor elsewhere. See also CE34.	"For copyright reasons, the text for Yorkshire cannot be displayed."
2280	17416	YC	CE39	Rise	7 1/2 carucates	Drogo of la Beuvriﬁre	Frank (of Falconberg)	-	Cnut	Robert Malet	Drogo of la Beuvriﬁre	[East Riding Holderness]	"14E37. SE,Hol23"	The assessment of Rise is given as 5 1/2 carucates in DB & YS. The half carucate of the Archbishop of York (2E37) would make Rise a 6-carucate unit so 7 1/2 is probably a scribal error (cf CE37). See also CE34.	"For copyright reasons, the text for Yorkshire cannot be displayed."
2300	17417	YC	CE40	Catwick	4 carucates	Drogo of la Beuvriﬁre	2 men-at-arms	-	Aldwif	Robert Malet	Drogo of la Beuvriﬁre	[East Riding Holderness]	"14E34. SE,Hol23"	"This holding is probably included in the 5 carucates held by Swein & Murdac. If not a scribal error (see CW4), Aldwif was presumably the overlord or one or other of these two men. See also CE34."	"For copyright reasons, the text for Yorkshire cannot be displayed."
2320	17418	YC	CE41	Ellerby	4 carucates	Drogo of la Beuvriﬁre	Theobald	-	Frani son of Thor	Robert Malet	Drogo of la Beuvriﬁre	[East Riding Holderness]	"14E43. SE,Hol24"	Frani was one of 5 pre-Conquest landowners named in the DB entry; he may have therefore been the overlord of the other four men. See also CE34.	"For copyright reasons, the text for Yorkshire cannot be displayed."
2340	17419	YC	CE42	Langthorpe [Hall]	1 carucate	Drogo of la Beuvriﬁre	Drogo of la Beuvriﬁre	-	Ecgfrith	Robert Malet	Drogo of la Beuvriﬁre	[East Riding Holderness]	"14E41. SE,Hol24"	"Thor is named as the pre-Conquest holder of Langthorpe. If not a scribal error (see CW4), Ecgfrith was probably his overlord. See also CE34."	"For copyright reasons, the text for Yorkshire cannot be displayed."
2360	17420	YC	CE43	Sproatley	6 carucates	Drogo of la Beuvriﬁre & Archbishop of York	Drogo of la Beuvriﬁre & Archbishop of York	-	Thorsten	Robert Malet	Drogo of la Beuvriﬁre & Archbishop of York	[East Riding Holderness]	"14E1;4;52. SE,Th13. SE,Hol3;8;26"	"6 carucates were divided between 4 holdings, none of which name Thorsten; if not a scribal error, Thorsten was presumably the overlord of those named. DB does not detail the Archbishop's bovate, possibly subsumed under Swine (2A2). See also CE34."	"For copyright reasons, the text for Yorkshire cannot be displayed."
2380	17421	YC	CE44	Keyingham	8 carucates	Drogo of la Beuvriﬁre	Drogo of la Beuvriﬁre	-	Thorfridh	Robert Malet	Drogo of la Beuvriﬁre	[East Riding Holderness]	"14E12. SE,Hol18"	Thorfridh's 8 carucates was the only holding in Keyingham so this is certainly the entry referred to. See also CE34.	"For copyright reasons, the text for Yorkshire cannot be displayed."
2400	17422	YC	CE45	Preston	16 carucates	Drogo of la Beuvriﬁre	Baldwin (of Flanders)	-	Frani & his brother	Robert Malet	Drogo of la Beuvriﬁre	[East Riding Holderness]	"14E1;48. Se,Hol3;25"	"DB & YS list one holding of 11 bovates and another of either 12 carucates & 1 bovate (YS) or 10 carucates & 2 bovates (DB), the latter held by 8 named individuals of whom Frani was one and presumably the overlord of the others. See also CE34."	"For copyright reasons, the text for Yorkshire cannot be displayed."
2420	17423	YC	CE46	{Andrebi}	2 carucates	Drogo of la Beuvriﬁre	Drogo of la Beuvriﬁre	(Earl) Morcar	Ravenkel	Robert Malet	Drogo of la Beuvriﬁre	[East Riding Holderness]	"14E4. SE,Hol7"	{Andrebi} was a jurisdiction of Withernsea whose holders are not named; but as this was the only holding in the vill there is no doubt that this is the entry referred to. See also CE34.	"For copyright reasons, the text for Yorkshire cannot be displayed."
2440	17424	YC	CE47	Waxholme	5 carucates	Drogo of la Beuvriﬁre	Alelm	-	Brandulfr	Robert Malet	Drogo of la Beuvriﬁre	[East Riding Holderness]	"14E4;11;17. SE,Hol8;17;19"	"The 5 carucates were divided between 3 holdings, none of which name Brandulfr; if not a scribal error, he was presumably the overlord of the two men who held 14E17 but the other holdings were dependencies of manors held by other lords. See also CE34."	"For copyright reasons, the text for Yorkshire cannot be displayed."
2460	17425	YC	CE48	{Redmere}	1 carucate	Drogo of la Beuvriﬁre	Drogo of la Beuvriﬁre	-	Ravenkel	Robert Malet	Drogo of la Beuvriﬁre	[East Riding Holderness]	"14E18. SE,Hol19"	"Ravenkel & Karli held 1 1/2 carucates in Redmere, of which Ravenkel's share was presumably 1 carucate. See also CE34."	"For copyright reasons, the text for Yorkshire cannot be displayed."
2480	17426	YC	CE49	Holmpton	8 carucates	Drogo of la Beuvriﬁre	Drogo of la Beuvriﬁre	-	Oddi the priest & Aethelstan & Siward	Robert Malet	Drogo of la Beuvriﬁre	[East Riding Holderness]	"14E19. SE,Hol19"	"DB names 3 other pre-Conquest holders of the 8-carucate manor of Holmpton, the only holding in that vill. See also CE34."	"For copyright reasons, the text for Yorkshire cannot be displayed."
2500	17427	YC	CE50	Rysome [Garth]	2 carucates	Drogo of la Beuvriﬁre	Drogo of la Beuvriﬁre	-	Thorgot	Robert Malet	Drogo of la Beuvriﬁre	[East Riding Holderness]	"14E21. SE,Hol20"	"DB names Thorgot, confirming that this is the entry referred to. See also CE34."	"For copyright reasons, the text for Yorkshire cannot be displayed."
2520	17428	YC	CE51	`Northorpe'	3 carucates	Drogo of la Beuvriﬁre	Walter	-	Grimkel	Robert Malet	Drogo of la Beuvriﬁre	[East Riding Holderness]	"14E22. SE,Hol20"	"DB names the pre-Conquest holder as Thorgot. Grimkel was presumably his overlord, or a scribal error is involved (see CW4). See also CE34."	"For copyright reasons, the text for Yorkshire cannot be displayed."
2540	17429	YC	CE52	Southcoates	1 carucate	Drogo of la Beuvriﬁre	Drogo of la Beuvriﬁre	-	Oddi the deacon	Robert Malet	Drogo of la Beuvriﬁre	[East Riding Holderness]	"14E49. SE,Hol25"	"Oddi & Ravenkel hold 13 bovates in Southcoates & Drypool in DB, of which YS specifies that 1 carucate lay in Southcoates. Drogo is presumably named by the jurors to distinguish this holding from the 1 carucate of the archbishop (2E35). See also CE34."	"For copyright reasons, the text for Yorkshire cannot be displayed."
2560	17430	YC	CW40	Bolton [Percy] & `Haggenby' & Acaster [Selby] & Ouston [Farm]	8 1/2 carucates & 5 bovates	Geoffrey Alselin	Geoffrey Alselin	-	Toki (son of Auti)	Geoffrey Alselin	William of Percy	[West Riding Ainsty Wapentake]	13W12;14;16. 18W3	"Bolton (CW33), 'Haggenby' (CW25) and Ouston (13W14) were dependencies of Geoffrey Alselin's manor of Helaugh. Percy is not recorded as holding in Acaster. A Malet interest in  'Haggenby is recorded in CW25"	"For copyright reasons, the text for Yorkshire cannot be displayed."
2580	17431	YC	CW41	Walton & Rufforth	1 carucate & 12 bovates	Osbern of Arques	Osbern of Arques	-	6 thanes & Alwin & Aldwulf	Robert Malet	Osbern of Arques	[West Riding Ainsty Wapentake]	"25W9;19. SW,Sn9;15"	"Dependency on Healaugh seems to be implied by the layout of the text but is not mentioned in DB in relation to any part of the Osbern's holdings 9 & 4 carucates respectively. There is little doubt, however, that these are the holdings referred to."	"For copyright reasons, the text for Yorkshire cannot be displayed."
2600	17432	YC	CW42	Askham [Bryan]	1 carucate	Count Alan	Count Alan	-	Merleswein (the sheriff)	Robert Malet	Count Alan	[West Riding Ainsty Wapentake]	"6W1. SW,An18"	"Dependency on Healaugh seems to be implied by the layout of the text but is not mentioned in DB in relation to any part of the Count's holding of 8 carucates.  There is little doubt, however, that this is the holding referred to."	"For copyright reasons, the text for Yorkshire cannot be displayed."
2640	17434	LC	CS1	Tathwell	1 carucate	Robert the bursar	Robert the bursar	-	Siward	Bishop Odo of Bayeux	Robert the bursar	South Riding [`Louthesk' Wapentake]	"38,12"	Robert and Odo both had a predecessor named Siward which may have caused confusion.	"In Tathwell hundred the Bishop of Bayeux's men claim 1 carucate of land against Robert the bursar, and the men of the Wapentake say that the Bishop himself ought rightly to have it."
2660	17435	LC	CS2	Tathwell	3 bovates	Earl Hugh	Earl Hugh	-	Earl Harold	Bishop Odo of Bayeux	Earl Hugh	South Riding [`Louthesk' Wapentake]	"13,28(-29)"	"The earl's manor was assessed at 5 carucates, with dependencies of 9 carucates and 2 bovates, any part of which may have included the 3 bovates."	"In the same hundred ^[Tathwell]^ the same Bishop ^[of Bayeux]^'s men claim 3 bovates of land against Earl Hugh, and the Wapentake says that the Bishop himself ought to have them."
