name,surname,surname_id,recipient_match,control_match,recipient_surname,control_surname,surname_metaphone,surname_soundex,surname_mp_se,mp_se_id,u_id,found_control_group,recipient_control_group,found_treatment_group,recipient_treatment_group
"Clunn, J., 318; John, 203",Clunn,,0.0,0.0,0.0,0.0,KLN,C405,KLN C405,13132.0,13132.0,0,0,0,0
"Cluysenaar, Marjorie, 167",Cluysenaar,7902.0,0.0,0.0,0.0,0.0,KLSNR,C4020506,KLSNR C4020506,7902.0,7902.0,0,0,0,0
"Clyfford, Anne, 148",Clyfford,,0.0,0.0,0.0,0.0,KLFRT,C401063,KLFRT C401063,944.0,944.0,0,0,0,0
"Clyst St. George, 70-2",Clyst,,0.0,0.0,0.0,0.0,KLST,C4023,KLST C4023,947.0,947.0,0,0,0,0
"Clyst St. Lawrence, 348",Clyst,,0.0,0.0,0.0,0.0,KLST,C4023,KLST C4023,947.0,947.0,0,0,0,0
"Clyst St. Mary, 348",Clyst,,0.0,0.0,0.0,0.0,KLST,C4023,KLST C4023,947.0,947.0,0,0,0,0
"Cobbaton, 291",Cobbaton,13138.0,0.0,0.0,0.0,0.0,KPTN,C010305,KPTN C010305,13138.0,13138.0,0,0,0,0
"Cobham, Bertha, 141",Cobham,11966.0,0.0,0.0,0.0,0.0,KPM,C0105,KPM C0105,11966.0,11966.0,0,0,0,0
"Coblegh, Cobley, Alice, 60, 61; Henry, 60, 61; Isabel, 60, 61; Joan, 60, 61; John, 60(2), 61(2); Sydney, 62",Coblegh,8672.0,0.0,0.0,0.0,0.0,KPL,C014020,KPL C014020,8672.0,8672.0,0,0,0,0
"Cock, John, 204",Cock,,0.0,0.0,0.0,0.0,KK,C020,KK C020,1212.0,1212.0,0,0,0,0
"Cockerton, Eva, Richard, 337",Cockerton,7903.0,0.0,0.0,0.0,0.0,KKRTN,C0206305,KKRTN C0206305,7903.0,7903.0,0,0,0,0
"Cockram, Rhoda, 8; William, 248",Cockram,,0.0,0.0,0.0,0.0,KKRM,C02605,KKRM C02605,10384.0,10384.0,0,0,0,0
"Cockwill, Percival, 200",Cockwill,,0.0,0.0,0.0,0.0,KKL,C0204,KKL C0204,984.0,984.0,0,0,0,0
"Cockwood, 73",Cockwood,13139.0,0.0,0.0,0.0,0.0,KKT,C0203,KKT C0203,13139.0,13139.0,0,0,0,0
"Codner, Samuel, 92",Codner,975.0,0.0,0.0,0.0,0.0,KTNR,C03506,KTNR C03506,975.0,975.0,0,0,0,0
"Coe, F., 246",Coe,,0.0,0.0,0.0,0.0,K,C000,K C000,1215.0,1215.0,0,0,0,0
"Coffyn, James, 205, 206",Coffyn,978.0,0.0,0.0,0.0,0.0,KFN,C0105,KFN C0105,978.0,978.0,0,0,0,0
"Cofton, 73",Cofton,13140.0,0.0,0.0,0.0,0.0,KFTN,C01305,KFTN C01305,13140.0,13140.0,0,0,0,0
"Coggan, Coggen, ------, 17; Herbert, 41",Coggan,,0.0,0.0,0.0,0.0,KKN,C0205,KKN C0205,979.0,979.0,0,0,0,0
"Coham, Mary, 38; Susan, 78; W., 38; William, 39",Coham,981.0,0.0,0.0,0.0,0.0,KHM,C050,KHM C050,981.0,981.0,0,0,0,0
"Colbye, Norfolk, 266",Colbye,13141.0,0.0,0.0,0.0,0.0,KLP,C0410,KLP C0410,13141.0,13141.0,0,0,0,0
"Colchester, St. James, Essex, 109; St. Martin, rectors of, 111(5)",Colchester,7904.0,0.0,0.0,0.0,0.0,KLXSTR,C04202306,KLXSTR C04202306,7904.0,7904.0,0,0,0,0
"Cole, John, 171; Lavinia, 63; Phyllis, 299; Sydney, 291",Cole,1217.0,0.0,0.0,0.0,0.0,KL,C040,KL C040,1217.0,1217.0,0,0,0,0
"Coleman, Frank, 335; George, 111; Peter, 266",Coleman,,0.0,0.0,0.0,0.0,KLMN,C040505,KLMN C040505,753.0,753.0,0,0,0,0
"Colemore, John, Thomas, 160",Colemore,,0.0,0.0,0.0,0.0,KLMR,C0405060,KLMR C0405060,8498.0,8498.0,0,0,0,0
"Coleridge House, 286",Coleridge,11930.0,0.0,0.0,0.0,0.0,KLRJ,C04060320,KLRJ C04060320,11930.0,11930.0,0,0,0,0
"Coleridge, A., 210; Derwent, 232, 235; Frances, 141; G., 330; George, 309; Samuel, 232",Coleridge,11930.0,0.0,0.0,0.0,0.0,KLRJ,C04060320,KLRJ C04060320,11930.0,11930.0,0,0,0,0
"”Coleroon•, 208",Coleroon,7905.0,0.0,0.0,0.0,0.0,KLRN,C040605,KLRN C040605,7905.0,7905.0,0,0,0,0
"Coles, Edith, 226; Eliza, 195; John, 326(2); Marjorie, Nicholas, Reginald, 182; W., 346; William, 181",Coles,,1.0,0.0,1.0,0.0,KLS,C0402,KLS C0402,1010.0,1010.0,0,0,0,0
"Collacott, Richard, 40",Collacott,,0.0,0.0,0.0,0.0,KLKT,C040203,KLKT C040203,991.0,991.0,0,0,0,0
"Collander, Alice, Mary, Rose, 211",Collander,9418.0,0.0,0.0,0.0,0.0,KLNTR,C0405306,KLNTR C0405306,9418.0,9418.0,0,0,0,0
"Collaton St. Mary, 225",Collaton,,0.0,0.0,0.0,0.0,KLTN,C040305,KLTN C040305,992.0,992.0,0,0,0,0
"Collen, Henry, 338",Collen,1218.0,0.0,0.0,0.0,0.0,KLN,C0405,KLN C0405,1218.0,1218.0,0,0,0,0
"Collie, Robert, 234",Collie,,0.0,0.0,0.0,0.0,KL,C040,KL C040,1217.0,1217.0,0,0,0,0
"Collier, Margaret, 330; Mark, 45; T., 172; William, 84",Collier,10920.0,0.0,0.0,0.0,0.0,KL,C0406,KL C0406,10920.0,10920.0,0,0,0,0
"Collins, Hugh, 246; John, 213",Collins,,0.0,0.0,0.0,0.0,KLNS,C04052,KLNS C04052,8400.0,8400.0,0,0,0,0
"Collins-Thomas, Dorothy, Hope, Mrs, 182",CollinsThomas,7906.0,0.0,0.0,0.0,0.0,KLNSTMS,C0405230502,KLNSTMS C0405230502,7906.0,7906.0,0,0,0,0
"Collinssplatt, Elizabeth, 47(3); Hawtrey, 47; Henry, 47(3); Isabella, Mary, 47",Collinssplatt,,0.0,0.0,0.0,0.0,KLNSPLT,C040521403,KLNSPLT C040521403,7710.0,7710.0,0,0,0,0
"Collipriest, 26",Collipriest,,0.0,0.0,0.0,0.0,KLPRST,C04016023,KLPRST C04016023,8485.0,8485.0,0,0,0,0
"Colliss, Gustavius, 270(2)",Colliss,,1.0,0.0,1.0,0.0,KLS,C0402,KLS C0402,1010.0,1010.0,0,0,0,0
"Collom, William, 22",Collom,,0.0,0.0,0.0,0.0,KLM,C0405,KLM C0405,1008.0,1008.0,0,0,0,0
"Colman, Ann, Sarah, Thomas, 163",Colman,1014.0,0.0,0.0,0.0,0.0,KLMN,C04505,KLMN C04505,1014.0,1014.0,0,0,0,0
"Colston, John, Ruth, 72",Colston,,0.0,0.0,0.0,0.0,KLSTN,C042305,KLSTN C042305,12631.0,12631.0,0,0,0,0
"Colwill, Bertie, 255",Colwill,1019.0,0.0,0.0,0.0,0.0,KLL,C0404,KLL C0404,1019.0,1019.0,0,0,0,0
"Colyford, 75-6, 77; vicars of, 75, 76(2); Grove, 75(3)",Colyford,1023.0,0.0,0.0,0.0,0.0,KLFRT,C0401063,KLFRT C0401063,1023.0,1023.0,0,0,0,0
"Combe Sydenham Hall, Somerset, 336",Combe,1032.0,0.0,0.0,0.0,0.0,KMP,C0510,KMP C0510,1032.0,1032.0,0,0,0,0
"Combe-in-Teignhead, 76, 78, 79; curate of, 76; rector of, 76",CombeinTeignhead,7907.0,0.0,0.0,0.0,0.0,KMPNTNT,C05105302503,KMPNTNT C05105302503,7907.0,7907.0,0,0,0,0
"Combwalter, 1",Combwalter,7908.0,0.0,0.0,0.0,0.0,KMPLTR,C05104306,KMPLTR C05104306,7908.0,7908.0,0,0,0,0
"Compton Hartley, 38",Compton,1033.0,0.0,0.0,0.0,0.0,KMPTN,C051305,KMPTN C051305,1033.0,1033.0,0,0,0,0
"Comyn Hill, 169",Comyn,,0.0,0.0,0.0,0.0,KMN,C0505,KMN C0505,1124.0,1124.0,0,0,0,0
"Coneau, Maurice, 346",Coneau,,0.0,0.0,0.0,0.0,KN,C050,KN C050,1125.0,1125.0,0,0,0,0
"Coney Weston, Suffolk, 141",Coney,,0.0,0.0,0.0,0.0,KN,C050,KN C050,1125.0,1125.0,0,0,0,0
"Coney, Mary, 261",Coney,,0.0,0.0,0.0,0.0,KN,C050,KN C050,1125.0,1125.0,0,0,0,0
"Congress, member of, 39",Congress,7909.0,0.0,0.0,0.0,0.0,KNKRS,C052602,KNKRS C052602,7909.0,7909.0,0,0,0,0
"Connaught, Duke of, 113",Connaught,,0.0,0.0,0.0,0.0,KNKT,C050203,KNKT C050203,10586.0,10586.0,0,0,0,0
"Connett, George, James, Jane, Laura, 40",Connett,,0.0,0.0,0.0,0.0,KNT,C0503,KNT C0503,1038.0,1038.0,0,0,0,0
"Connop, Anne, Newell, Richard, 63",Connop,,0.0,0.0,0.0,0.0,KNP,C0501,KNP C0501,11347.0,11347.0,0,0,0,0
"Connor, Helen, 179",Connor,,0.0,0.0,0.0,0.0,KNR,C0506,KNR C0506,1037.0,1037.0,0,0,0,0
"Conran, Agnes, E., 280; Gerald, 279(2); Geraldine, 279; Henry, 279(2); James, 279(3); Percy, 250, 279; Robina, 279(2); W., 280; William, 250, 279(2), 280(3)",Conran,7910.0,0.0,0.0,0.0,0.0,KNRN,C05605,KNRN C05605,7910.0,7910.0,0,0,0,0
"Consort, H.M.S., 246",Consort,7911.0,0.0,0.0,0.0,0.0,KNSRT,C052063,KNSRT C052063,7911.0,7911.0,0,0,0,0
"Conway, Eliza, 224; William, 335",Conway,1125.0,0.0,0.0,0.0,0.0,KN,C050,KN C050,1125.0,1125.0,0,0,0,0
"Coode, Cuthbert, 261(2); Lucy, 261; Perceval, 330; Winifred, 331",Coode,1239.0,0.0,0.0,0.0,0.0,KT,C030,KT C030,1239.0,1239.0,0,0,0,0
"Cook, Cooke, David, 178, 211; Diana, 178; Gerald, Gertrude, 216; Henry, 269; John, Kivvie, 178; Norah, 269; Penelope, 178; Thomas, 292",Cook,,0.0,0.0,0.0,0.0,KK,C020,KK C020,1212.0,1212.0,0,0,0,0
"Cook-Hurle, Alice, 164; John, 163",CookHurle,13142.0,0.0,0.0,0.0,0.0,KKRL,C020640,KKRL C020640,13142.0,13142.0,0,0,0,0
"Cookworthy, William, 238",Cookworthy,,0.0,0.0,0.0,0.0,KKR0,C020630,KKR0 C020630,972.0,972.0,0,0,0,0
"Coombe Farm, 17",Coombe,,0.0,0.0,0.0,0.0,KMP,C0510,KMP C0510,1032.0,1032.0,0,0,0,0
"Coomb(e), 1, 26, 185(2), 280",Coombe,,0.0,0.0,0.0,0.0,KMP,C0510,KMP C0510,1032.0,1032.0,0,0,0,0
"Coombe, Harold, 174",Coombe,,0.0,0.0,0.0,0.0,KMP,C0510,KMP C0510,1032.0,1032.0,0,0,0,0
"Coombes, Coombs, Lilian, 57; Reginald, 244",Coombes,6904.0,0.0,0.0,0.0,0.0,KMPS,C05102,KMPS C05102,6904.0,6904.0,0,0,0,0
"Coomhay, 288",Coomhay,,0.0,0.0,0.0,0.0,KM,C050,KM C050,1030.0,1030.0,0,0,0,0
"Cooper, A., 54; Jessie, 234; Nina, 54; Sydney, 170",Cooper,,0.0,0.0,0.0,0.0,KPR,C0106,KPR C0106,1223.0,1223.0,0,0,0,0
"Copland, Alexander, 309(2); H., 237",Copland,,0.0,0.0,0.0,0.0,KPLNT,C014053,KPLNT C014053,966.0,966.0,0,0,0,0
"Copleston, Coplestone, Agnes, 343, 345; Eleanor, 257, 258; Elizabeth, J., 178; John, 257, 343(2), 345; Mary, William, 336",Copleston,8370.0,0.0,0.0,0.0,0.0,KPLSTN,C01402305,KPLSTN C01402305,8370.0,8370.0,0,0,0,0
"Copner, Mary, 170",Copner,1054.0,0.0,0.0,0.0,0.0,KPNR,C01506,KPNR C01506,1054.0,1054.0,0,0,0,0
"Copp, Harry, 170; T., 133",Copp,,0.0,0.0,0.0,0.0,KP,C010,KP C010,1051.0,1051.0,0,0,0,0
"Coppard, William, 249",Coppard,,0.0,0.0,0.0,0.0,KPRT,C01063,KPRT C01063,960.0,960.0,0,0,0,0
"Corcoram, E., 248",Corcoram,7912.0,0.0,0.0,0.0,0.0,KRKRM,C0620605,KRKRM C0620605,7912.0,7912.0,0,0,0,0
"Cork, J., 328",Cork,11862.0,0.0,0.0,0.0,0.0,KRK,C062,KRK C062,11862.0,11862.0,0,0,0,0
"Cornborough, 1",Cornborough,13143.0,0.0,0.0,0.0,0.0,KRNPRF,C065106020,KRNPRF C065106020,13143.0,13143.0,0,0,0,0
"Cornew, Isabel, Robert, 60",Cornew,1076.0,0.0,0.0,0.0,0.0,KRN,C0650,KRN C0650,1076.0,1076.0,0,0,0,0
"Cornish, Anne, 261; Charles, 261(2); Elizabeth, 15; Emily, 243(2); Fanney, 261; Frederick, 294; J., 167; James, 15(4); Jessie, 243; Marianne, 136; Marion, 254; P., 239; Priscilla, 15; Robert, S., 136; Sarah, 294",Cornish,1078.0,0.0,0.0,0.0,0.0,KRNX,C065020,KRNX C065020,1078.0,1078.0,0,0,0,0
"Cornish-Bowden, Edward, 212; Esther, Margaret, 15; William, 212",CornishBowden,7913.0,0.0,0.0,0.0,0.0,KRNXPTN,C06502010305,KRNXPTN C06502010305,7913.0,7913.0,0,0,0,0
"Cornish-Browne, Lilian, 179(2)",CornishBrowne,7914.0,0.0,0.0,0.0,0.0,KRNXPRN,C06502016050,KRNXPRN C06502016050,7914.0,7914.0,0,0,0,0
"Cornot, Germaine, 252",Cornot,,0.0,0.0,0.0,0.0,KRNT,C06503,KRNT C06503,12390.0,12390.0,0,0,0,0
"Cornwallis, H.M.S., 212",Cornwallis,,0.0,0.0,0.0,0.0,KRNLS,C0650402,KRNLS C0650402,1074.0,1074.0,0,0,0,0
"Corp, -----, 102, 103; Eleanor, 282, 283; John, 282, 283",Corp,,0.0,0.0,0.0,0.0,KRP,C061,KRP C061,11101.0,11101.0,0,0,0,0
"Cortisknowle, 102",Cortisknowle,7915.0,0.0,0.0,0.0,0.0,KRTSKNL,C063025040,KRTSKNL C063025040,7915.0,7915.0,0,0,0,0
"Cory, Richard, 330",Cory,1126.0,0.0,0.0,0.0,0.0,KR,C060,KR C060,1126.0,1126.0,0,0,0,1
"Coster, Charles, 56",Coster,,0.0,0.0,0.0,0.0,KSTR,C02306,KSTR C02306,11696.0,11696.0,0,0,0,0
"Cottenham, Earl of, 178",Cottenham,7916.0,0.0,0.0,0.0,0.0,KTNM,C030505,KTNM C030505,7916.0,7916.0,0,0,0,0
"Cottesmore, 158",Cottesmore,7917.0,0.0,0.0,0.0,0.0,KTSMR,C03025060,KTSMR C03025060,7917.0,7917.0,0,0,0,0
"Cottle, Alfred, 250; William, 227, 250",Cottle,,0.0,0.0,0.0,0.0,KTL,C0340,KTL C0340,10094.0,10094.0,0,0,0,0
"Cotton, Anne, 2; Sarah, 47(2); William, 2, 47",Cotton,1104.0,0.0,0.0,1.0,0.0,KTN,C0305,KTN C0305,1104.0,1104.0,0,0,0,0
"Coulson, Elizabeth, 29; Gustavus, Henry, 305",Coulson,,0.0,0.0,0.0,0.0,KLSN,C04205,KLSN C04205,12152.0,12152.0,0,0,0,0
"Coulthart, Thomas, 244",Coulthart,7918.0,0.0,0.0,0.0,0.0,KL0RT,C043063,KL0RT C043063,7918.0,7918.0,0,0,0,0
"Countess Wear, 348",Countess,,0.0,0.0,0.0,0.0,KNTS,C05302,KNTS C05302,12442.0,12442.0,0,0,0,0
"Courcy, Florence de, 261",Courcy,,0.0,0.0,0.0,0.0,KRS,C0620,KRS C0620,1112.0,1112.0,0,0,0,0
"Court Barton, 337",Court,1113.0,0.0,0.0,0.0,0.0,KRT,C063,KRT C063,1113.0,1113.0,0,0,0,0
"Courtenay, Courtney, arms of, 270, 272; Ann, 78; Anna, 112, 312; Caroline, 312; Charles, 38, 252; Edward, 251, 252; Elizabeth, 165; Evelyn, 165, 178; Frederick, 165, 252; H., 330; Harriet, 251(2); Henry, 178(2), 252(5); Hugh, 112, 113, 119, 252; Katherine, 272, 273; Lady, 178, 252; Lord, 178(2), 252(2); Margaret, 75, 112, 113, 119; Marguerite, 252; Sir Peter, 112, 113, 114, 115, 119; Sir Philip, 273; Thomas, 252, 312; William, 75, 252(3); Sir William, 252(2)",Courtenay,1114.0,0.0,0.0,0.0,0.0,KRTN,C063050,KRTN C063050,1114.0,1114.0,0,0,0,0
"Courtier, Gladys, 162",Courtier,,0.0,0.0,0.0,0.0,KRT,C06306,KRT C06306,10327.0,10327.0,0,0,0,0
"Courtlands, 63",Courtlands,7919.0,0.0,0.0,0.0,0.0,KRTLNTS,C06340532,KRTLNTS C06340532,7919.0,7919.0,0,0,0,0
"Cousins, Dorothy, 15",Cousins,,0.0,0.0,0.0,0.0,KSNS,C02052,KSNS C02052,10845.0,10845.0,0,0,0,0
"Cousiss, Kate, 179",Cousiss,13144.0,0.0,0.0,0.0,0.0,KSS,C0202,KSS C0202,13144.0,13144.0,0,0,0,0
"Cove, 82, 348",Cove,1115.0,0.0,0.0,0.0,0.0,KF,C010,KF C010,1115.0,1115.0,0,0,0,0
"Coventon, Harry, 193",Coventon,7920.0,0.0,0.0,0.0,0.0,KFNTN,C0105305,KFNTN C0105305,7920.0,7920.0,0,0,0,0
"Cover, Henry, 52",Cover,10649.0,0.0,0.0,0.0,0.0,KFR,C0106,KFR C0106,10649.0,10649.0,0,0,0,0
"Cowan, Elizabeth, 268; Phyllis, Robert, 261",Cowan,,0.0,0.0,0.0,0.0,KN,C050,KN C050,1125.0,1125.0,0,0,0,0
"Coward, B., C., 239",Coward,,0.0,0.0,0.0,0.0,KRT,C063,KRT C063,1113.0,1113.0,0,0,0,0
"Cowell, George, 50",Cowell,1217.0,0.0,0.0,0.0,0.0,KL,C040,KL C040,1217.0,1217.0,0,0,0,0
"Cowie, B., 134",Cowie,,0.0,0.0,0.0,0.0,K,C000,K C000,1215.0,1215.0,0,0,0,0
"Cowlen, Joanna, 262, 264; John, 262",Cowlen,,0.0,0.0,0.0,0.0,KLN,C0405,KLN C0405,1218.0,1218.0,0,0,0,0
"Cowper, Jessie, 306",Cowper,,0.0,0.0,0.0,0.0,KPR,C0106,KPR C0106,1223.0,1223.0,0,0,0,0
"Cox, A., 193; Charles, 8; Edward, 292; Graham, 322; J., 193; John, 8, 211, 282; Lucy, Margaret, 282; Mary, 193; W., 72",Cox,,0.0,0.0,0.0,0.0,KKS,C020,KKS C020,8442.0,8442.0,0,0,0,0
"Crabb, William, 234",Crabb,,0.0,0.0,0.0,0.0,KRP,C601,KRP C601,1189.0,1189.0,0,0,0,0
"Crane, Edward, 10",Crane,,0.0,0.0,0.0,0.0,KRN,C6050,KRN C6050,8993.0,8993.0,0,0,0,0
"Cranford, Northants., 101",Cranford,1150.0,0.0,0.0,0.0,0.0,KRNFRT,C6051063,KRNFRT C6051063,1150.0,1150.0,0,0,0,0
"Crang, Alice, 41; David, 80; L., 78; Lilly, 56; Mary, 41; William, 56",Crang,1151.0,0.0,0.0,0.0,0.0,KRNK,C6052,KRNK C6052,1151.0,1151.0,0,0,0,0
"Craven, Countess Evelyn, 203",Craven,13145.0,0.0,0.0,0.0,0.0,KRFN,C60105,KRFN C60105,13145.0,13145.0,0,0,0,0
"Crawshay, Charlotte, Edwin, 145",Crawshay,,0.0,0.0,0.0,0.0,KRX,C6020,KRX C6020,1200.0,1200.0,0,0,0,0
"Creedy Park, 266, 268(2)",Creedy,,0.0,0.0,0.0,0.0,KRT,C6030,KRT C6030,1202.0,1202.0,0,0,0,0
"Creery, Andrew, Ronald, 237",Creery,13146.0,0.0,0.0,0.0,0.0,KRR,C6060,KRR C6060,13146.0,13146.0,0,0,0,0
"Cresswell, Sackville, 204",Cresswell,,0.0,0.0,0.0,0.0,KRSL,C60204,KRSL C60204,11528.0,11528.0,0,0,0,0
"Cressy, H.M.S., 277",Cressy,,0.0,0.0,0.0,0.0,KRS,C6020,KRS C6020,1210.0,1210.0,0,0,0,0
"Crewdson, Sarah, 238",Crewdson,7921.0,0.0,0.0,0.0,0.0,KRTSN,C603205,KRTSN C603205,7921.0,7921.0,0,0,0,0
"Crick, John, 44; Mary, 44(2); Richard, 44",Crick,,0.0,0.0,0.0,0.0,KRK,C602,KRK C602,8509.0,8509.0,0,0,0,0
"Cricklade, Wilts., 203",Cricklade,7922.0,0.0,0.0,0.0,0.0,KRKLT,C6024030,KRKLT C6024030,7922.0,7922.0,0,0,0,0
"Crispin, Annie, George, Robert, 40",Crispin,1173.0,0.0,0.0,0.0,0.0,KRSPN,C602105,KRSPN C602105,1173.0,1173.0,0,0,0,0
"Critton, Anna, 251",Critton,,0.0,0.0,0.0,0.0,KRTN,C60305,KRTN C60305,1203.0,1203.0,0,0,0,0
"Crocker, Denys, Dorothy, 315; F., 162; George, 249, 315; Mary, William, 200",Crocker,1179.0,0.0,0.0,0.0,0.0,KRKR,C60206,KRKR C60206,1179.0,1179.0,0,0,0,0
"Crockernwell, 58(2), 83",Crockernwell,7923.0,0.0,0.0,0.0,0.0,KRKRNL,C60206504,KRKRNL C60206504,7923.0,7923.0,0,0,0,0
"Crockford, Marge, Reg, 182",Crockford,13147.0,0.0,0.0,0.0,0.0,KRKFRT,C6021063,KRKFRT C6021063,13147.0,13147.0,0,0,0,0
"Crokker, Sir John, 343, 344",Crokker,,0.0,0.0,0.0,0.0,KRKR,C60206,KRKR C60206,1179.0,1179.0,0,0,0,0
"Croly, Richard, 107",Croly,,0.0,0.0,0.0,0.0,KRL,C6040,KRL C6040,1141.0,1141.0,0,0,0,0
"Crook, Crooke, Bertie, 19; Betty, 203; C., 270; Ellen, 203; Ronald, 203(2)",Crook,,0.0,0.0,0.0,0.0,KRK,C602,KRK C602,8509.0,8509.0,0,0,0,0
"Crookshank, Charles, 276",Crookshank,13148.0,0.0,0.0,0.0,0.0,KRKXNK,C602052,KRKXNK C602052,13148.0,13148.0,0,0,0,0
"Croot, Croote, Susan, 63; W., 20",Croot,,0.0,0.0,0.0,0.0,KRT,C603,KRT C603,9139.0,9139.0,0,0,0,0
"Crosby, Elizabeth, James, Matthew, 266",Crosby,13149.0,0.0,0.0,0.0,0.0,KRSP,C60210,KRSP C60210,13149.0,13149.0,0,0,0,0
"Cross, 314",Cross,,0.0,0.0,0.0,0.0,KRS,C602,KRS C602,1210.0,1210.0,0,0,0,0
"Cross, Bridget, 5; C., 130; Charles, 299; F., 130; John, 19, 249; Lucy, Robert, 204",Cross,,0.0,0.0,0.0,0.0,KRS,C602,KRS C602,1210.0,1210.0,0,0,0,0
"Crossing, George, 170",Crossing,1195.0,0.0,0.0,0.0,0.0,KRSNK,C602052,KRSNK C602052,1195.0,1195.0,0,0,0,0
"Croucher, John, 144",Croucher,13150.0,0.0,0.0,0.0,0.0,KRXR,C60206,KRXR C60206,13150.0,13150.0,0,0,0,0
"Crownley, William, 38",Crownley,13151.0,0.0,0.0,0.0,0.0,KRNL,C60540,KRNL C60540,13151.0,13151.0,0,0,0,0
"Crowther, Edward, 289",Crowther,12003.0,0.0,0.0,0.0,0.0,KR0R,C60306,KR0R C60306,12003.0,12003.0,0,0,0,0
"Croyde, 83, 145; rector of, 160",Croyde,,0.0,0.0,0.0,0.0,KRT,C6030,KRT C6030,1202.0,1202.0,0,0,0,0
"Crudge, Elizabeth, 262, 265; Mary, 262, 265; Penelope, 262, 265; Richard, 262, 265; Thomas, 262, 265",Crudge,9576.0,0.0,0.0,0.0,0.0,KRJ,C60320,KRJ C60320,9576.0,9576.0,0,0,0,0
"Crudley, Hereford, curate of, 185",Crudley,,0.0,0.0,0.0,0.0,KRTL,C60340,KRTL C60340,12676.0,12676.0,0,0,0,0
"Cruse, Clifford, 113; George, Thomas, 10",Cruse,1210.0,0.0,0.0,0.0,0.0,KRS,C6020,KRS C6020,1210.0,1210.0,0,0,0,0
"Cruwys, George, 83(5), 85; Mary, 83(2)",Cruwys,,0.0,0.0,0.0,0.0,KRS,C602,KRS C602,1210.0,1210.0,0,0,0,0
"Cubitt, George, 141; William, 2",Cubitt,,0.0,0.0,0.0,0.0,KPT,C0103,KPT C0103,4990.0,4990.0,0,0,0,0
"Cuddesdon Theological College, 75",Cuddesdon,7924.0,0.0,0.0,0.0,0.0,KTSTN,C0302305,KTSTN C0302305,7924.0,7924.0,0,0,0,0
"Cudlipptown, 226",Cudlipptown,7925.0,0.0,0.0,0.0,0.0,KTLPN,C03401305,KTLPN C03401305,7925.0,7925.0,0,0,0,0
"Culkin, John, 261",Culkin,13152.0,0.0,0.0,0.0,0.0,KLKN,C04205,KLKN C04205,13152.0,13152.0,0,0,0,0
"Cullen, Caroline, 50",Cullen,,0.0,0.0,0.0,0.0,KLN,C0405,KLN C0405,1218.0,1218.0,0,0,0,0
"Culling, Emma, 340; Thomas, 340, 341; William, 340",Culling,,0.0,0.0,0.0,0.0,KLNK,C04052,KLNK C04052,1123.0,1123.0,0,0,0,0
"Culm David Manor, 9",Culm,12342.0,0.0,0.0,0.0,0.0,KLM,C045,KLM C045,12342.0,12342.0,0,0,0,0
"Culverwell, Alfred, Ellen, 343",Culverwell,12117.0,0.0,0.0,0.0,0.0,KLFRL,C0410604,KLFRL C0410604,12117.0,12117.0,0,0,0,0
"Cuming, Cumming, Cummings, B., 237; Barbara, 336; Basil, 315(2); C., Edith, 315; Edward, 197; Edwin, Florence, 210; Mary, 197; R., 130; Wilfred, 336",Cuming,,0.0,0.0,0.0,0.0,KMNK,C05052,KMNK C05052,1029.0,1029.0,0,0,0,0
"Cunningham, Viscount, Viscountess, 90",Cunningham,6159.0,0.0,0.0,0.0,0.0,KNNKM,C0505205,KNNKM C0505205,6159.0,6159.0,0,0,0,0
"Curgenven, John, 257",Curgenven,7109.0,0.0,0.0,0.0,0.0,KRJNFN,C06205105,KRJNFN C06205105,7109.0,7109.0,0,0,0,0
"Currie, Alexander, Annie, 180",Currie,,0.0,0.0,0.0,0.0,KR,C060,KR C060,1126.0,1126.0,0,0,0,1
"Curson, Curzon, Dawn, Patricia, 15; Spencer, 15(2)",Curson,11829.0,0.0,0.0,0.0,0.0,KRSN,C06205,KRSN C06205,11829.0,11829.0,0,0,0,0
"Curtis, C., 227",Curtis,1226.0,0.0,0.0,0.0,0.0,KRTS,C06302,KRTS C06302,1226.0,1226.0,0,0,0,0
"Cutbush, Anita, Frederick, 301",Cutbush,7926.0,0.0,0.0,0.0,0.0,KTPX,C031020,KTPX C031020,7926.0,7926.0,0,0,0,0
"Cutcliffe, Charles, Emma, 169; R., 78",Cutcliffe,,0.0,0.0,0.0,0.0,KTKLF,C0324010,KTKLF C0324010,1232.0,1232.0,0,0,0,0
"Cutland, Emily, Florence, 204",Cutland,,0.0,0.0,0.0,0.0,KTLNT,C034053,KTLNT C034053,1230.0,1230.0,0,0,0,0
"Dabernoun, John, 39(2)",Dabernoun,,0.0,0.0,0.0,0.0,TPRNN,D0106505,TPRNN D0106505,1246.0,1246.0,0,0,0,0
"Dabie, Daby, Augusta, 37; Charlotte, 256",Dabie,,0.0,0.0,0.0,0.0,TP,D010,TP D010,1369.0,1369.0,0,0,0,0
"Dadd, William, 136",Dadd,,0.0,0.0,0.0,0.0,TT,D030,TT D030,1419.0,1419.0,0,0,0,0
"Dalby, Charles, Herbert, 46",Dalby,,0.0,0.0,0.0,0.0,TLP,D0410,TLP D0410,1388.0,1388.0,0,0,0,0
"Dalgety, Frederick, 286",Dalgety,7927.0,0.0,0.0,0.0,0.0,TLKT,D042030,TLKT D042030,7927.0,7927.0,0,0,0,0
