NAME,FORENAME,OCCPN/STATUS,PLACE,P.A.B./NOTE,YEAR,FOLIO
,,,"(wife of Richard SHILSTON, Exeter)",,,
SHUCKBURGH,Richard,merchant,city of Exeter,-136,1694,161
SIKES,Samuel,merchant,Dartmouth,-155,1694,201
SILKWOOD,Robert,mar,"HMS ""Hampton Court"";",-164,1695,223
,,,"(d. in T.M.S. ""Sterling Castle"" or Plymouth, Devon)",,,
SKINNER,Robert,grocer,"St Stephen, Exeter",-232,1697,298
SLANNING,"Sir Nicholas,",kt & bt (knight of the Bath),"Mariston, Tamerton Folyett",,,
,,,,will registered 144 Fane (1692),,
SMALLY,Nicholas,mar,"Milbrooke, Plymouth",-75,1694,86
,,,"(d. in ship ""Sussex"")",,,
SMITH,Robert,M.D.,"city of Salisbury, Wilts",-172,1694,222
,,,"(d. in Hawkchurch, Dorset)",,,
SMURT,Robert,butcher,Culmestock,-93,1697,104
SMYTH,John,mar,(exor of Plymouth),-137,1697,149
,,,"(d.in) H.M.S. ""Hampshire""",,,
SOUTHCOTT,"George,",gent,"Poulshaise, Kilmenton, Dev",,,
,,,[Kilmington],-131,1698,174
SPARKE,Angel,,Exeter,---,1694,p31
,,,,will registered 35 Lloyd (1686),,
SPEED,Andrew,ironmonger,Twinton,-115,1694,140
,,,[Plympton],Sentence,1694,262
SPENCER,Richard,mar,"Ratcliffe, Mdx",-50,1696,39
,,,"(now in Plymouth, Devon)",,,
SPICER,"Hugh,",bach mar,(sister of Kenton),-157,1694,200
,,,"(H.M.S. ""Albermarle"")",,,
SPRAGE,John,M.D.,Plymouth,-230,1700,184
SPURWAY,Nicholas,merchant,Tiverton,-131,1698,174
STANICK als STABACK,Joseph,shipwright,"Westingmouth, Devon",-236,1694,257
,,,"(Rotherhithe, Surrey; d. in ship ""Hope"")",,,
,,,[West Teignmouth],,,
STARRE,Edmond,esq.,"Newcourt,Devon",-230,1700,184
,,,[?Topsham],,,
STARR,John,merchant,city of Exeter,-121,1700,89
STEED,Ezekiel,mercer,city of Exeter,-49,1699,50
,,,,,,
STEPENS (STEVENS),"Henry,",gent,Bucklandbauer,-114,1697,127
,,,[Buckland Brewer],,,
STEPHENS,"Godfrey,",bach mar & master's mate,Plymouth,-88,1697,103
,,,"(H.M.S. ""Hastings""; d. in ship ""Jane"")",,,
STERT,John,midshipman,(sister of Plymstock),-186,1695,162
,,,"T.M.S. ""Grafton""",,,
STEVENS,John,,,-24,1697,39
,,,"(d. in H.M.S. ""Hampshire"" at Plymouth Sound)",,,
STILE,Styll,brasier,Bampton,-156,1698,194
STOAKES,Thomas,mar,(father of Attingdon),-105,1696,102
,,,"(d. in H.M.S. ""Ruby"")",,,
,,,Atherington,,,
STOCKER,Andrew,mar,Dartmouth,-124,1696,127
,,,"(d. ship ""New Adventure' in Barbadoes)",,,
STOCKER,Charles,mar,Dartmouth,-49,1694,66
STOOKE,"John, senr",,Tinsham (Devon),-122,1696,127
,,,[Trusham],,,
STUCKEY,"Andrew, senr",merchant,Plymouth,-12,1700,13
STUCKLEY,"Susan,",wid.,Aston,will registered 175 Fane (1692),1697,p150
,,,"[Affton Barton, West Worlington, seat of STUKELEY family]",,,
STUTT,Thomas,merchant,Exeter,-169,1694,221
SYDENHAM,"George,",gent,Morebath,-27,1695,33
TACKE,Thomas,,Exeter,---,1694,p192
,,,,will registered 12 Cann (1685),,
TATERSHALL,"George, senr.",gent,Exbourne,-74,1700,65
TAYLOR,"John,","bach, mar",Newton Ferrers,-9,1697,19
,,,"(H.M.S ""Russell""; ""Burford""; d. in ""Lyon"")",,,
TAYLOR,"John,","bach, mar",(exix in Plymouth),-225,1694,258
,,,"(H.M.S. ""Hampshire"")",,,
TAYLOR,Richard,mar,(wife of Kingsbridge),-112,1695,107
,,,"T.M.S. ""Dover""",,,
,,,"(d. St Thomas Hospital, Southwark, Surrey)",,,
TEATE,Thomas,ropemaker,Plymouth,-93,1699,83
THOMAS,Richard,corporal (d. in) HMS 'Hampshire',,,1697,301
,,,,,1699,150
,,,"(1697, 235; 1699 170)",,,
,,,,Sentence,1699,204
,,,"(exix in 1697 will of Greenwich, Kent and in 1699 of Plymouth, Devon)",,,
THOMPSON,Valentine,mar,(wife of Howdone),-184,1697,215
,,,"(T.M.S. ""Berwick"";ship ""Royal Katherine"" d. O.H.M.S. at sea)",,,
,,,West Down,,,
TOLLER,"Stephen,",gent,"Peamon, Axminster",-13,1694,20
TOLMACH,(Hon) Thomas,esq,"St Anne,Westminster, Mdx;",-132,1694,162
,,,"(d. Plymouth, Devon)",,,
TOMKINS,"Thomasin,",wid.,Axminster,-93,1697,104
TOPLADY,John,cit & merchant taylor of,London,,1699,139
,,,,"-159,190",1699,164
,,,"(mar, H.M. hired ship ""Concord"" of Whitby",,,
,,,"H.M.S. ""Bristol""; d. in Plymouth, Devon)",,,
TOZER,"Susanna,",wid.,city of Exeter,-64,1699,64
TREFFRY,James,merchant,Plymouth,-233,1695,249
TRENCHARD,"John, senr",yeo,Thorncombe,-173,1698,207
TREVILL,Lethbridge,esq,Butshead,(no act),1700,190
,,,[St Budeaux],,,
TUCKER,John,merchant,city of Exeter,-195,1695,162
UDALL,Lionell,innholder,city of Exeter,-77,1698,109
VAUGHAN,"Charles,",esq,city of Exeter,-118,1699,104
VAVSOR,Roger,merchant,Dartin,-170,1696,213
,,,[Dartmouth],,,
VENMAN,John,yeo,"Heale, Bradninch",-67,1694,88
WADLAND,Thomasinne,,Biddeford,-146,1700,121
WAKE,John,mar,Brickson,-201,1697,216
,,,(d.overesas),,,
,,,[Brixham],,,
WALKER,Richard,chirugeon,Plymouth,-139,1694,163
,,,"(H.M.S. ""Fairfax"")",,,
WALLAND,"Edward, sen.",,Silferton (Silverton),-146,1700,121
WALROND,"Edmond,",esq,Bovey [Tracey],-50,1694,183
WARD,Thomas,mar,(bro. of Devonshire),-31,1697,43
,,,"(ship ""Ruby Prize""; d. in H.M.S. ""Duchess"")",,,
WARE,"Rigley,",gent,Sidbury,(122: Dec 1746),1696,130
WARREN,"Christopher,",esq,Plymouth,-13,1694,21
WARREN,"Nicholas,",gent,"Rew, Dev",,,
,,,,(231) Sentence Easter1701,1700,123
,,,,[this is exactly as it appears in the Vol 80 index],,
WARRIN (WAREING),Pascoe,mar,Plymouth,-192,1700,159
,,,"(d. in merchant ship ""Amity"" at sea)",,,
WATSON,John,clothyer,Collompton,-10,1695,15
WATSON,Peter,clothier,Cullompton,-30,1696,24
WATTS,Henry,clothier,Thorncombe,-221,1696,263
WEBB,Zachariah,mar,"H.M.S. ""Content"" prize",-224,1697,265
,,,"(d. at Plymouth, Devon)",,,
WEBBER,Thomas,clothier,Barnstaple,-28,1697,42
WEEKES,Samuel,fuller,Exeter,-48,1696,42
WEST,"George,",gent,Thorverton,-149,1695,138
WEST,"Mary,",wid.,Thorverton,-86,1695,82
WESTERNE,"Thomas,",gent,Stokedamerill,-192,1700,123
WESTRON,Marke,yeo,Uffculme,-28,1700,33
WETHERIDGE,"Moses,",bach mar,Wembury,-88,1694,111
,,,"H.M.S. ""Foresight""",,,
WHITE,"John, senr",,Coleridge,--,1698,p113
,,,,will registered 143 Cottle (1682),,
WHITE,Joseph,seaman,"T.M.S. ""Burford""",-96,1697,106
,,,"(d. in ship ""Medway"" at Plymouth, Dev)",,,
,,,"(exor of Rotherhithe, Surrey)",,,
WHITE,Richard,merchant,city of Exeter,-186,1698,222
WHITE,Thomas,mar,Plymouth,-52,1697,67
,,,"(d. in ship ""Hampshire""; O.H.M.S. at sea)",,,
WHITROW,John senr,merchant,Dartmouth,-64,1699,64
WHITROW,John junr,merchant,Dartmouth,-48,1700,41
WILKIN,John,mar,Tinmouth,-101,1698,135
,,,"(HMS ""Deptford"")",,,
,,,[Teignmouth],,,
WILLIAMS,Joachim,mar,Plymouth,-205,1694,238
,,,"(d. in HMS ""Scarborough"")",,,
WILLS,"Thomas,",gent,Exeter,-63,1696,56
WINSTON,Thomas,"commander ""Franck"" privateer",,-132,1698,178
,,,"(Plymouth, Devon; d. at sea)",,,
WOODROFFE,John,husbandman,Uffculme,-156,1698,195
WOOLCOMBE,"Elizabeth, wid.",,Ainsbury,-86,1695,82
,,,[Aylesbeare],,,
WREY,"Sir Bourchier,","bt., kt of the Bath",,-115,1697,132
,,,Tawstock,,,
WYNHAM,"Thomas,",gent,"Hawkchurch, Dorset",-160,1698,195
YEA,,Francisyeo,Studley (Audley),-35,1698,56
,,,[Stoodleigh],,,
YEABSLY,Stephen,mar,East Stonehouse,-184,1700,160
,,,"(H.M.S. ""Carlisle"")",,,
YOUNG,Nathaniel,merchant,Plymouth,-65,1699,65
