SURNAME,FORENAME,OCCPN/STATUS,PLACE,TYPE,YEAR   ,FOLIO   ,REGISTER
,Will pvd same date (as Sent),,,,,,
,Sent. pro. val. test. 9 Jne 1630 (52 Scroope),,,,,,
SKIPPON,William,,Tawstock,,1634,10,Seagar
,Will pvd 10 Feb 1633/4,,,,,,
,& codicil pvd 17 Feb 1633/4 (21 Seager),,,,,,
,Sent. pro. conf. test. et cod 6 Nov 1634 (96 Seagar),,,,,,
SMITH,Nicholas Esq,,Mount Radford,,1630,17,Scroope
,Will pvd 13 Feb 1629/30,,,,,,
,Sent. pro. conf. test. 14 June 1631 (73 St John),,,,,,
SMITH,William,,Tavistock,,1632,126,Audley
,Will regd 1632,,,,,,
,Sent. pro. val. test. 3 Dec 1632 (126 Audley),,,,,,
SOUTHCOTT,"Elizabeth, widow",,Exeter,,1629,95,Ridley
,Will & cod pvd. 24 Nov 1629,,,,,,
,"Sent. pro, conf. test. et cod. 16 Feb 1629/30 (21 Scroope)",,,,,,
SPEALT,"William, bach",,Aveton Gifford,,1633,112,Russell
,Will pvd same date (as Sent.),,,,,,
,Sent.pro. val. test. 3 Dec 1633 (112 Russell),,,,,,
STROWDE,Thomas,,Barnstaple,,1633,58,Russell
,Will pvd 7 June 1633,,,,,,
,Sent.pro. conf. test. 28 Jan 1633/4 (2 Seagar),,,,,,
TANNER,John,,Rector of Offwell,,1632,73,Audley
,Will pvd 18 June 1632,,,,,,
,Sent. pro. conf. test. 16 Feb 1632/3 (19 Russell),,,,,,
TURNER,Nicholas,,"Rawridge, Halberton",,1630,20,Scroope
,Sent. pro. null. test. et cod. 16 Feb 1629/30,,,,,,
,Admon t.a.i. 18 Aug 1629 pendentlite.,,,,,,
,"to Phineas MAY & John BROOKE, alleged exors of said will",,,,,,
TURNER,Nicholas the elder,,Rawridge (Halberton),,1630,60,Scroope
,Sent. pro. null. cod. 1 June 1630,,,,,,
WALKER,Thomas,,Alderman of Exeter,,1629,78,Ridley
,Will & cod. pvd 26 Sept 1629,,,,,,
,Sent. pro. conf. test. et cod. 3 July 1633 (61 Russell),,,,,,
WEEKES,"Michael, bach",,Heavitree,,1630,112,Scroope
,Admon w.will 28 Jan 1630/1 (112 Scroope),,,,,,
,"Admon t.a.i. 8 May 1629 to sister Joan RICHARDS, wife of Nathl. RICHARDS",,,,,,
,Sent. pro. val.test. et revoc. adms. bon. 2 Dec 1630,,,,,,
