SURNAME,FORENAME,OCCPN/STATUS,PLACE,TYPE,YEAR   ,FOLIO   ,REGISTER
THOMAS,John,,Holcomb Rogus,,1639,178,Harvey
THOMAS,William,,"St John's College, Oxford",,1639,143,Harvey
,,,will pvd Robert THOMAS,,,,
,,,late of Shillingford,,,,
,,,(Shillingford St George),,,,
TOGOOD,Edward,clerk,Tiverton,,1639,93,Harvey
TUCKFIELD,Walter,Rector of,Morchard Bishop,,1639,89,Harvey
VASSE,Daniel,merchant,Topsham,,1639,52,Harvey
VENNER,John,gent,Rowborowe (Roborough),,1639,88,Harvey
WEARE,Edmund,gent,Clyst Honiton,,1639,144,Harvey
WEARE,William,,Halberton,,1639,144,Harvey
WEBBER,Avis,widow,Exeter,Admon w. will,1639,113,Harvey
,,,,Admon 30 Mar 1652,,,
WHIDDON,Sir John,kt,Chagford,Admon w. will,1639,56,Harvey
WHITE,John,gent,Stoke Rivers,,1639,123,Harvey
WILLIAMS,William,mariner,Plymouth,,1639,52,Harvey
WRIGHT,Anne,,Bradninch,,1639,200,Harvey
WYSE,Walter,merchant,Totnes,,1639,156,Harvey
AVERY,"Thomas, bach",,Dolton,,1635,114,Sadler
,Sent pro conf test et revo adnis bon 23 Nov 1635,,,,,,
,Admon t.a.l. 18 July 1634 to sisters,,,,,,
BEARE,George,,Coplestone,,1635,70,Sadler
,Sent. pro. val. test. 26 June 1635,,,,,,
COLLCOTT,Christopher,,"Newton Abbot, parish Wolborough",,,,
,Will pvd 2 same date (as Sent),,1636,,78,Pile,
,Sent. pro. val. test. 2 June 1636,,,,,,
DRAKE,John,,Littleham,,1637,168,Goare
,Will pvd 12 Sept 1637,,,,,,
,Sent. pro. conf. test. 2 Dec 1637,,,,,,
DUKE,Alexander,,Woodbury,,1634,69,Seager
,Will pvd 18 July 1634,,,,,,
,Sent. pro. conf. test. 17 Feb 1634/5 (19 Sadler),,,,,,
FOWNES,Thomas Esq,,Plymouth,,1638,84,Lee
,Will pvd 18 June 1638,,,,,,
,Sent. pro. conf. test 5 Feb 1638/9 (24 Harvey),,,,,,
GOULD,William Esq,,"Hayes, nr Exeter",,1637,100,Goare
,Will pvd 14 June 1637,,,,,,
,Sent. pro. val. test. 14 June 1637 (100 Goare),,,,,,
HELE,Elize,,Exeter,,1636,2,Pile
,Will pvd 25 Jan 1635/6,,,,,,
,Sent. pro. conf. test 28 May 1636 (68 Pile),,,,,,
HEYWOOD,"Edward & Bridget, his widow",,Barnstaple,,1635,52,Sadler
,Admon w. will 5 May 1635,,,,,,
,Sent. condemn.m.neg.comp.bon. 2 Dec 1639 (194 Harvey),,,,,,
,Admon t.a.i. B.H. 1635 5 May to George PEARD,,,,,,
,of Barnstaple d.m. daughter Eliz. HEYWOOD,,,,,,
,Admon t.a.i. 18 Aug 1635 to uncle Charles WOODROFFE,,,,,,
,d.m. Eliz. HEYWOOD,,,,,,
,Admon t.a.i. 22 Dec 1638 to sister Grace WELLINGTON,,,,,,
,d.m. Eliz. HEYWOOD,,,,,,
HILL,Rose,,Bishop's Tawton,,1635,70,Sadler
,Will pvd same date (as Sent),,,,,,
,Sent. pro.val.test. 3 June 1635,,,,,,
LEACH,"Sir Simon, kt",,Cadeleigh,,1637,58,Goare
,Will pvd 8 April 1637,,,,,,
,Sent. pro. conf. test July 1637 (105 Goare),,,,,,
LOVELL,John,,Cheriton Fitzpaine,,1634,28,Seager
,Will & cod. pvd 25 April 1634,,,,,,
,Sent. pro. conf. test. et cod. 17 Feb 1734/5 (19 Sadler),,,,,,
LUMLEY,Richard,,Dartmouth,,1637,162,Goare
,Will pvd 9 Dec 1637,,,,,,
,Sent. pro.conf. test. 27 April 1638 (46 Lee),,,,,,
OXENHAM,James the younger,,Zeal Monachorum,,1638,69,Lee
,Will pvd same date (as Sent),,,,,,
,Sent.pro. val. test. 8 June 1638 (69 Lee),,,,,,
PARSEY,Adam,,Bishop's Tawton,,1633,94,Russell
,Will pvd 16 Nov 1633,,,,,,
,Sent. pro. val.test. 10 May 1637 (81 Goare),,,,,,
,[name entered as PURSEY per errorem in Vol 1 p. 232),,,,,,
PERROTT,Mary,,St Mary Church,,1633,46,Russell
,Will pvd 10 May 1633,,,,,,
,Sent. pro.conf. test. 9 May 1635 (51 Sadler),,,,,,
PHELPHS,Laurence,,Thorncombe,,1637,163,Goare
,Will pvd Dec 1637,,,,,,
,Sent. pro. conf. test. 5 May 1638 (38 Lee),,,,,,
PYSING,Robert,,"Hawkchurch, Dor.",,1638,164,Lee
,Will pvd same date (as Sent),,,,,,
,Sent. pro. va. test. 13 Nov 1638 (164 Lee),,,,,,
SALTERN,John,,Huntshaw,,1639,182,Harvey
,Will pvd January 1639/40,,,,,,
,Sent. pro. val. test. 23 Nov 1639 (183 Harvey),,,,,,
SEAWARD,Richard,,Uffculme,,1635,129,Sadler
,Will pvd same date (as Sent),,,,,,
,Sent. pro. val. test. 2 Dec 1635 (129 Sadler),,,,,,
SHERWILL,Nicholas,,Plymouth,,1639,100,Harvey
,Will & cod. pvd. 8 June 1639,,,,,,
,Sent. pro. conf. test. et cod. 3 Dec 1639 (194 Harvey),,,,,,
SPICER,Christopher,,Exeter,,1637,145,Goare
,Will pvd same date (as Sent),,,,,,
,Sent. pro. val. test. 4 Nov 1637 (145 Goare),,,,,,
STRODE,Sir William kt,,"Newington, Devon",,1638,18,Lee
,Sent. pro.val.test. et cod. 21 Feb 1637/8,,,,,,
,Sir William kt v. William STRODE,,,,,,
,"Sent. pro, null.codicill. present 13 Nov 1638 (143 Lee)",,,,,,
SUTCLIFFE,"Anne, widow",,Efford,,1635,22,Sadler
,Will pvd same date (as Sent),,,,,,
,Sent.pro. val. test. 17 Feb 1634/5,,,,,,
TIPPETT,Nicholas,,Harberton,,1637,74,Goare
,Will pvd same date (as Sent),,,,,,
,Sent. pro. val. test. 20 May 1637,,,,,,
WEBBER,George,,Tiverton,,1637,162,Goare
,Will pvd same date (as Sent),,,,,,
,Sent. pro. val. test. 2 Dec 1637,,,,,,
WESTON,"Joan, widow",,Membury,,1638,58,Lee
,Admon t.a.i. 11 Feb 1635/6 to nepos,,,,,,
,Tobias WHITE of Shute,,,,,,
,Sent. absol. in he temerar admit bon. 20 May 1638,,,,,,
