id	 COUNTY	 VALUE	 PLAINTIFF	 P_RESIDENCE	 P_COUNTY	 P_OCCUP	 DEFENDANT	 D_RESIDENCE	 D_COUNTY	 D_ALIAS_RES	 D_ALIAS_CO	 D_OCCUP	 DETAILS
52	LONDON	0	BUCKERIDGE GEORGE				WROUGHTON GILES	BROAD HINTON	WILTS			KENT	On 15 june 1600 at London (cheap) def accounted with pl for \r\ndiverse moneys etc. -  Giles in arrears by £5; \r\n\r\nOn 30 sept 1600 at London he bought two hats with treble bands for 28s, and \r\na box for 12d; \r\n\r\non 15 dec 1600 at London he bought two blacke hattes with \r\ndouble bands for 20s, a mulmerth cap for 7s, 5 velvet caps 33s \r\n4d, a pix for 12d. on 7 may 1601 at London he bought a felt hat \r\nwith a band for 14s., a hat for 8s, another for 14s, a pix for \r\n12d, 2 coloured hats for 16s, 2 black hats for 18s and a taffeta \r\nhat with treble band for 20s to pay etc.
53	YORKS	0	EVERINGHAM FRANCIS			KNIGHT	SHEPPARD JERVASE	STAINBOROUGH	YORKS			YEOMAN	On 8 oct 42 eliz @ Barnsley def bought 20 qtrs picearum voc otes \r\nfor £19 10s and 45 bus of wheate for £10 10s & 45 bus rye for £10 \r\nto pay when required. \r\n\r\nGRAIN
54	YORKS	£4.78	JACKSON JOHN				LAWE JOHN	CAWOOD	YORKS			YEOMAN	On 13 aug 1601 at York castle def bought 6 ells linen cloth \r\ncalled holland for 14s and 4 ells of same for 9s 4d and 4 ells \r\nfor 16s, 1 1/2 virg (linen) Scotishe cloth for 1s6d, 4 virg. \r\nlinen Scotishe clothe for 12s 8d, 4 3/4 virg Scottish cloth for \r\n14s 6d. denies. John Jackson to recover.
55	YORKS	0	SAVYLL SHEFFELD EXEC OF				SAVYLL EDW ALS SHEPPERD	LEEDS	YORKS			GENT	On 28 march 40 eliz at Wakefield def bought from the late SS 3 qtrs \r\nbarley for 42s 3d to pay etc. denies.\r\n\r\nGRAIN
56	LONDON	-1	HOLLAND JOHN				WAFERER THOS	SANDWICH	KENT			INNHOLDER	Plea of a/c damages claimed £40. Def charged with false account \r\nfrom time when they were pl's bailiffs in London of the said John, \r\nin par St Dunstan in the East in Bridge Ward from 2 Jan 42 Eliz \r\nto 31 Dec then next following, when they had care of six tuns \r\nand 3 hogsheads of Gascon wine to trade with, to his damage of \r\n£40.
57	LONDON	-1	HOLLAND JOHN				TATAM RIC	SANDWICH	KENT			INNHOLDER	Plea of a/c damages claimed £40. Def charged with false account \r\nfrom time when they were pl's bailiffs in London of the said John, \r\nin par St Dunstan in the East in Bridge Ward from 2 Jan 42 Eliz \r\nto 31 Dec then next following, when they had care of six tuns \r\nand 3 hogsheads of Gascon wine to trade with, to his damage of \r\n£40.
58	STAFFS	0	TOMKYS EDW				FLACKETT THOS	COMBRIDGE	STAFFS			YEOMAN	On 1 Jan 42 Eliz at Wolverhampton def bought a horse for 70s to \r\npay etc, and subsequently paid 30s, leaving 40s outstanding.\r\n\r\nHORSES
59	EXETER	0	BARCOMBE LAUR				DUNE RIC	HEVITREE	DEVON			YEOMAN	On 13 dec 1594 at Exeter def bought 4 virg woollen cloth for 42s 8d, \r\n3 virg batte colour for 32s; on same day the pl and def accounted \r\ntogether - def in arrears 27s 6d;\r\n\r\nOn 24 jan 1595 at Exeter bought 3 virg fine French risselt for 41s, 3 virg greene for 33s; \r\n\r\nOn 25 may 1595 at exeter, 3 1/2 vir sellgrene 37s 6d, 3 1/4 virg broade frenche tawney for \r\n45s.; \r\n\r\nOn 5 dec 1595 at exeter, 3 virg blue bayes for 7s 6d; same day he borrowed 88s 4d.\r\n\r\nCASH
60	KENT	0	ALFRYE WM				SOMER RIC	DARTFORD	KENT			YEOMAN	On 10 sept 41 at Tonbridge R bought from Wm 3 tonnes of iron for \r\n£31.10s to pay when asked, and he after satisfied him in £24.10s; \r\nand on the same day at Tonbridge he borrowed 20s. therefore etc.\r\n\r\nCASH
61	LONDON	0	ALSTON WM JNR				SCOTT ROBT	LANGHAM	SUFFOLK			YEOMAN	On 28 may 44 eliz at London (Cheap) def bought from pl. 7 qtr of \r\nbarley for said £5.1.6.\r\n\r\nGRAIN
62	LONDON	0	VALE JOHN				STICLES HEN	BURY ST EDMUNDS	SUFFOLK			COWPER	On 27 feb 44 Eliz @ London (cheap) defs bought from pl 55 dozen yarde \r\nhoopes for £5 10s, 26 dozen 4-foot hoops for 78s and 2 dozen \r\nfive-foot hoops for 8s paying said John [space] then next \r\nfollowing; on 27 feb 44 eliz at london he borrowed 4s. denies.
63	LONDON	0	VALE JOHN				INGLISHE JAMES	BURY ST EDMUNDS	SUFFOLK			COWPER	On 27 feb 44 Eliz @ London (cheap) defs bought from pl 55 dozen yarde \r\nhoopes for £5 10s, 26 dozen 4-foot hoops for 78s and 2 dozen \r\nfive-foot hoops for 8s paying said John [space] then next \r\nfollowing; on 27 feb 44 eliz at london he borrowed 4s. denies.
64	YORKS	0	ELLYS JOHN EXECS OF				LINDALL ALEX	LEEDS	YORKS			CHAPMAN	On - of - - at York castle, def bought from John Ellys 10 pieces \r\nof timber (maeremii) for 20s; and on 30 april 41 Eliz at york \r\ncastle he borrowed 20s.\r\n\r\nCASH
65	YORKS	£16.00	HORSLEY ABRAHAM				SHAW JOSEPH	OVENDEN	YORKS			CHAPMAN	On 6 Mar 1601 at Halifax these two (see next) with Hames Shawe of Ipworth Yorks  \r\n[presumably a Scot by origin], chapman, bought from the plaintiff woollen cloth called \r\ncarseys for £18; 40s afterwards satisfied.
66	YORKS	£16.00	HORSLEY ABRAHAM				DEANE ABRAHAM	OVENDEN	YORKS			CHAPMAN	On 6 Mar 1601 at Halifax these two (see prev.) with Hames Shawe of Ipworth Yorks \r\n[presumably a Scot by origin], chapman, bought from the plaintiff woollen cloth called \r\ncarseys for £18; 40s afterwards satisfied.
67	YORKS	0	VERNON WM			GENT	DISHFORTH RIC	GAWTHORPE	YORKS			CARRIER	On 20 Mar 40 Eliz at York castle def bought one half quarter of \r\noats for 10s, 1 peck of oats for 9d, 1/2 qtr oats for 10s, 1 peck \r\ntritici for 16d to pay etc; on same day and place he borrowed \r\n£8.3.8.\r\n\r\nGRAIN
68	YORKS	£2.00	WATERHOWSE RIC				TURNER ROBT	ELLAND	YORKS			YEOMAN	On 2 feb 44 Eliz at York castle they accounted and Robt owed for \r\ndiverse packs of wool bought, 26s 8d; and on the same day he \r\nbought one stone of wool for 13s 4d.
69	LONDON	0	FREEMAN MARTIN				MAY THOS	LONDON	LONDON	MAYFIELD	SUSSEX	ARMIGER	On 25 Aug 42 Eliz at London (cheap) by script oblig def ack himself bound in £300. \r\n\r\nThomas asks the bond be read: 'the condicion [etc] is such that where the within bound \r\nThos may in consideracion of a certayne some of lawfull money.... to him in hande paide \r\nby the within named Martin Freeman hast bargayned and sold unto said M.F. one hundred \r\nquarter of wheate and two hundred quarter of barley of such goodness as hereafter \r\nmeasured yf therefore the said t.m. and the within bound Edwarde Sackevile or either of \r\nthem [etc] shall well and trulye deliver or cause to be delivered unto the said Martin \r\nFreeman..... one hundred qtr of wheat, good sweete merchantable, well condiconed and \r\nwithout touche or smutt accomptinge 21 q therof for every 20q of the same wheate in or \r\nuppon the laste daye of February nexte ensuynge the date within written in the port of \r\nChichester in the co of Susex free of all chardyes att the syde of such shippe or shippes \r\nthere as the said Marten or his assignes shall appoynte there for the receipte thereof and \r\nshall doo well and truly deliver etc 200 q barley good etc, 21 for 20, on same day (last day \r\nfeb) in the porte of Shoram in the co of Sussex at the side of such ship or shippes [as \r\nbefore] free of all charges without further delaye, then the oblig. to be void and of noe \r\neffecte or else ut to stande etc. def says that he did deliver 100 q wheat of the type \r\nspecified, 21 for 20 at Cirencestr' [sic] in co Susex in the port of Cirencestr' at the side of a \r\ncertian ship called the Marye Rose there appointed by Martin and he well and truly \r\ndelivered the 200 q barley at the port of Shorham at the side of a certain ship called the \r\nMary Rose by said M. apointed. \r\n\r\nPl contradicts. jury finds for plaintiff. \r\n\r\nGRAIN
70	LONDON	0	GOSSE HEN				OWSLEY JASPER	COURTNEYHALL	NHANTS			GENT	On 4 june 1599 at London (Cheap) def bought from pl a lookyngelasse for 5s 6d, a pair of \r\nromane gloves for 12d a pair of riding gloves of spanyshe leather for 2s 6d, 4 pair romayne \r\ngloves for 4s., 2 pair romane gloves oull 3s, 2 pair romane basbyan gloves tusted for 5s, 1 \r\npair of perfumed gloves for 2s, a trunk soned with velvet and bounde with silver lace for \r\n22s, a pair of garter for 3s 6d, a pair of perfumed gloves for 2s., a pair of blacke silke \r\ngarters for 3s 6d and a pair of berer silke stockinges for 40s. and on same day he brought \r\na pair of gloves to have the topps fastened with taffy baye for 6d and another pair for 6d. \r\ntotal £5 9s and afterwards he satisfied him of 40s. \r\n\r\nFURNITURE LOOKING GLASS
71	KENT	0	BROWNE ANDREW				WELLER GEORGE	CHARTHAM	KENT				Pl. says on last day Feb 35 Eliz @ Maidstone Maria bought 14 virg panni textilis voc \r\ndouble silkerarche for 54s, an ell of coloured satten for 17s 6d, 2 virg goldtynsell for 7s, \r\ngolden spangles for 6s 8d, 1 1/4 oz golde byndynge lace for 7s 6d, an ell of linen 'three \r\nquarter cloth' for 16d, an ell of russet fustian for 15d, 2 doz gold buttons for 2s, an ell of \r\nbuckram for 15d, an ounce of sowynge silke for 2s 4d and gold twyste, french bodyes, \r\nstrawe coloured cotton, popp in grayne greene buffyn, gold lace, green bayes, silver \r\ntynsell, gold twyste, gold binding lace, popping gercy, green taffety, gold fringe, poynts \r\ntagged with bugills, pair of bente sleeves; \r\n\r\nThen at Maidstone on 17Aug he returned to Andrew 'to cut the tasyngs' and bought a blac \r\nsilk robe, and on 5 jan 1591 he returned at Maidstone a womens tunic called a peticote \r\netc, and so it goes on. \r\n\r\nCLOTHING SILK WOOLLEN CLOTH LINEN
72	ESSEX	0	CRANVYN LIBERTO	[COLCHESTER]			NOKE EDW	PELDON	ESSEX				Edward on 11 April 41 Eliz at Chelmsford, by script oblig, ack to \r\nbe held in said £40. herewith: the condicion etc.... if... Edw \r\nNoke or his etc doe and shall well and truly deliver or cause to \r\nbe delivered unto the said Liberto Cranvyn or his etc at the nowe \r\ndwellinge house of the said LC situate and beinge in the parishe \r\nof St Jeames in the suburbes of the towne of Colchester the sume \r\nof one and fyfte quarters of good sweete and well dresst oats \r\nmarchantable with the best; 30 qtrs before 24 Dec next 21 q. on or \r\nbefore the 1 Feb next the oblig to be void etc.. Noke claims he \r\ndid deliver as above.\r\n\r\nGRAIN
73	ESSEX	0	MOWLD GEORGE				WESTON ANTONY	COLCHESTER	ESSEX			GENT	George says that on 1 Nov 1600 at Colchester def bought 1/4 ell grene ollwyde taffetye for \r\n4s., 4 doz fibularum for 12d; 1/4 ell green silki for 8d; \r\n\r\n& on 15 may 1601 at Colchester he bought 8 1/4 virg fine million fustian for 30s 3d & other \r\ncloth and skaynes of silke; and on 18 may 1601 at Colchester he bought 2 pairs worsted \r\nstockings for 17s, and french garters for 3s and on same day he bought white jane fustian \r\nfor 6s and russet jane fustian for 18d, 3 nayles tussed tafteye, silk lace and others, rone \r\ncanvas, 1 lb bombast and on 21 May at Colchester he bought worsted twisted stockings \r\nand on 30 may at Colchester he borrowed £5 11s 9d etc. \r\n\r\nSILK COTTON LINEN BUCKLES THREAD
74	ESSEX	0	BALL CHARLES				HILLES JOHN	ARDLEIGH	ESSEX			TAILOR	O 1 june 44 Eliz at Massing (Messing) def accounted with Charles for \r\ndiverse moneys owed for barrells of stronge beare bought, and he \r\nwas in arrers 96s and on the same day he borrowed £5 4s.\r\n\r\nBEER
75	LONDON	£13.00	BATE HENRY				VEALE RIC	LONDON	LONDON			TAYLOR	On 20 feb 1596 in London (cheap) they accounted etc for diverse \r\nmerchandise and mercery bought and Ric owed £5.4.6d. \r\n\r\nOn 21 Mar 1596 at London he bought 9 1/2 oz fine russet cheane lace for 23s 9d, 4 doz \r\ngreat russet buttons for 3s 2d, great black purlee buttons etc etc. \r\n\r\non 9 jun bought green parchment lace, and borrowed 40s 10d.
76	LONDON	0	LANGWYTHE THOS AND HATHE WM				NAYLER THOS	LINCOLN	LINCS			GENT	On 5 nov 1600 at London (cheap) def bought a treble hatband for 14s, a french band for \r\n18s;\r\n\r\nAnd on 5 nov 1601..... he bought a galerium for 9s, a heare brushe for 16d; and on same 5 \r\nnov he bought a galerium to trim.\r\n\r\nHAIRBRUSH HATS
77	HERTS	0	GYLVYN NIC				AYERS ROBT	BARKWAY	HERTS			BUTCHER	On 22 sept 44 eliz at Hertford def bought from pl 1 cow and 4 juvenca to pay when asked. \r\nBut etc.\r\n\r\nCATTLE
78	LONDON	0	HIGGINS STEPHEN				DORMER ROBT & W. ELIZ	WING	BUCKS			KNIGHT	On 12 dec 1597 @ London (Cheap) Eliz bought a purginge glister (3s \r\n4d), a pultys (3s 4d) another pultis (3s 4d), unam petiorem \r\npurgatoriam pro variis vicibus for 6s, unam potion ad sommum \r\nconciliand (2s), a lumpete to make plasters (5s), a potion \r\npurgatoriam cum ruberbero and manna for 2 vicibus for 6s 8d, \r\nanother poultice (3s 4d), a cordiall drink (4s) poultice (3s) to \r\npay etc.\r\n\r\nMEDICAL
79	LONDON	0	GOMERSALL JOHN				FENNER WM	LONDON	LONDON			GENT	On 9 Dec 1601 @ London (Cheap) def bought 17 virg purple satten \r\nfor £10 4s, 3 1/2 virg satten for 47s 6d, 1/2 virg and an ell \r\nvelvet for 10s 6d, 1 1/2 ell sarsenett for 8s 3d, 5 virg blacke \r\nvelvet, 92s 6d, 14 5/8 virg taffa for 73s 1d, 1/2 virg crimson \r\nvelvet for 8s 6d, to pay etc. then on same day he borrowed 18s \r\n7d, to pay etc.\r\n\r\nSILK CASH
80	LONDON	£3.50	WESTON THOS				MORLEY FRANCIS ALS MARLOW	EGHAM	SURREY			GENT	On 20 sept 43 Eliz @ London (Cheap) def bought 5 barrells of \r\nstrong beer for 40s, 4 other barrells of strong beer for 24s, 1 \r\nkilderkyn of strong beer for 4s, and 1 kilderkyn small beere for \r\n2s, to pay etc.
81	LONDON	£11.00	HASLEWOOD EDMUND ADMIN OF EXEC				MEARES THOS	YEWLOWE IN PAR HARDINGE	FLINT			YEOMAN	24 Dec 1583 and subsequently @ Cheap - Hats & childrens hats, \r\nedging of hats 
82	LONDON	0	GOMERSALL JOHN				BACON EDW	LONDON	LONDON			ARMIGER	On 21 Nov 1601 @ London (Cheap) def bought 14 virg tusce taffeta \r\nfor £8 1s, 8 virg damaske for 77s 4d, 4 1/4 virg green saye for \r\n9s 11d, 8 1/2 virg russelt satten for £5.16.2., 2 1/2 ells of \r\ntaffeta servenll, for 38s 3d, 3 1/2 virg and 1 ell millon fustian \r\nfor 11s 8d, 1 1/4 virg russet satin for 3s  5d to pay when asked \r\netc.\r\n\r\nSILK COTTON WOOLLEN CLOTH
83	YORKS	0	BAYTSON ALAN				HAMTON PAUL	MUNCKROYDE	YORKS			ARMIGER	On 7 Jan 1597 @ York castle def bought a piece of iron for 2s 2d; on 18 March 1597@ \r\nYork castle he bought another piece of iron for 2s 1d; 17 mar 1598 at York castle, another \r\npiece for 3s, 13 march 1599 at York castle another piece for 2s 6d and 1 for 2s 2d.; same \r\nday borrowed 28s 1d to pay etc.\r\n\r\nCASH
84	SURREY	0	COXE RIC				NEWMAN THOS	GUILDFORD	SURREY			MERCER	On 17 april 43 Eliz @ Bramley def bought a cow & calf for 50s.; \r\n\r\nAnd on 20 May 43 Eliz he bought 80 cartloads of timber (ligni) for £16.10s. to pay etc.\r\n\r\nCATTLE
85	ESSEX	0	NYCOLLS RIC	[CHELMSFORD]		GENT	STOKES THOS	GOOD EASTER	ESSEX			YEOMAN	On 18 feb 42 eliz at Chelmsford by a scriptum, def ack to owe £60 - the bond as follows - \r\nthos stokes and john clarke or either of them etc to deliver to said richard or etc., at the \r\nhouse of sayd richard situate in Chelmsford 40 qtrs good sweet and clean barley well \r\npicked well dressed and merchantable with the best, allowing 8 bushels to every quarter to \r\nbe measured by the usual bushel of the said richard or by the like - 20 qtrs before feast of \r\nall saints next, 20 qtrs at or before nat dom., otherwise in full effect etc. \r\n\r\ndef claims he did deliver. jurors finds for def. ric in mis - def to receive 50s damages. \r\n\r\nGRAIN
86	ESSEX	0	NYCOLLS RIC	[CHELMSFORD]	ESSEX		CLARKE ICHAS	GOOD EASTER	ESSEX				Scriptum 18 feb 42 eliz @ Chelmsford - 40 qtrs of barley - terms \r\nidentical to the above bond; case proceeds.\r\n\r\nGRAIN
87	HANTS	0	CLEVERLEY ARTHUR				CORNELYS RIC	SOUTHAMPTON	HANTS			MERCHANT	On 22 june 39 Eliz at Romsey def bought 12,000 ligni vocat tallwood for £6 and on 7 sept 40 \r\nEliz at Romsey he bought 2,000 talwood for 24s to pay when asked.\r\n\r\nFIREWOOD
88	YORKS	0	TENANT PETRO				PEELE HENRY	GISBURN	YORKS			YEOMAN	On 20 June 43 Eliz at York castle def bought a piece of tustre \r\ntaffetie for 5s 6d, 4 virg lace for 11d, 4 other virg frenge for \r\n14d, a piece of fustyan for 2s 4d, 2 virg stamyll (woollen cloth) \r\nfor 24s, 3 1/2 virg blewe kersey for 9s 11d 1 1/4 virg fustyan \r\nfor 3s 6d and a felt hat for 3s to pay etc.\r\n\r\nSILK COTTON HATS LACE
89	ESSEX	0	POPLETT HENRY				BEAUMOND JOHN	THORPE	ESSEX			BUTCHER	Def with John Button on 30 Sept 40 Eliz at Thorrington bought 4 \r\njuvenca or bullocks for 73s 4d each and on said day borrowed 6s \r\n8d.\r\n\r\nCATTLE
90	ESSEX	7.50	POPLETT HENRY				BUTTON JOHN	THORPE	ESSEX			BUTCHER	Def with John Button on 30 Sept 40 Eliz at Thorrington bought 4 \r\njuvenca or bullocks for 73s 4d each and on said day borrowed 6s \r\n8d.\r\n\r\nCATTLE
91	LONDON	0	CROSSE HENRY				POYNES JOHN	IRON ACTON	GLOUCS			MILES	1 Apr 1600 in London Cheap def bought 6 pairs baskyn perfumed \r\ngloves tusted  with silk and silver for 20s and various other \r\ntypes of gloves. \r\n\r\nOn 15 feb 1600 (sic) at London - black silk stockings 40s, silk poynts 6s, garters, \r\nwomans hose, etc, and etc on other occs. \r\n\r\nLACES 
92	KENT	0	AMYS RIC				DAY ELIZEUS	DOVER	KENT			GENT	On 31 july 1599 @ Sittingbourne def bought 4 dolia of double \r\nbeare for 40s to pay when asked.\r\n\r\nBEER
93	LONDON ERR	0	FREEMAN MARTIN				SACHEVILLE EDW	LONDON	LONDON	DORKING	SURREY	GENT	Script oblig in Cheap, 28 Aug 42 Eliz.; this is the counterpart of \r\ncase 66 and the same bill narrated etc.\r\n\r\nGRAIN
94	LONDON	0	ANDERSON WM				SHORROCK, GEORGE	BLACKROD	LANCS			GENT	On 1 jan 44 Eliz at London (Cheap) def bought a cow and calf for \r\n63s;\r\n\r\nand on 7 Feb 44 Eliz at London he bought an acre of hay for \r\n17s and etc.\r\n\r\nCATTLE
95	YORKS	0	BAITSON ALAN				WARDE JOHN	PONTEFRACT PARK	YORKS				On 12 Sept 1595 @ York castle def bought 33 lb dansk iron for 5s \r\n2d; 22 1/4 lb Englishe hops for 14s 8d; 26 lb iron for 4s 2d; 11 \r\nlb iron for 20d; and on 11 April 1596 @ York castle 36 lb iron \r\nfor 5s 7d; 2 lb sope for 6d; 33 lb iron for 5s; 14lb hops for 9s \r\n4d; 2 lb soap for 6d, 1 lb currants for 6d, 2 quarts vinegar for \r\n13d, 2 lb currants for 12d; 2 oz pepper for 6d; a couple of \r\nholland linges for 4s; 1 lb 1 oz pepper for 3s 11d; 1/2 quire of \r\npaper for 12d; in june 1596  - more hops, vinegar, soap, currants, \r\nlingar, mace paper, closes, and in July 1596, sweet soap, iron, \r\nchalk; more of the same in Sep 1596; and borrowed 14s 8d.\r\n\r\nSPICES
96	LONDON	£6.00	PAGE JOSEPH				CADWALADER JOHN	LONDON	LONDON			YEOMAN	On 8 june 43 Eliz at London (Cheap) def bought a mill-stone for \r\n60s and borrowed 60s to pay etc.
97	LONDON	0	BRANCH FRANCIS				NOTT LEONARD	MAXFIELD	CHESTER			CHAPMAN	On 3 dec 1598 at London (Cheap) def bought 1 dozen of sticht wasts for 5s., a dozen of \r\nsmall childrens wasts for 3s 6d, a dozen of stript wasts for 20d;\r\n\r\nOn 12 july 1599 at London he bought 3 leather russet girdles and hangers for10s 6d, 3 \r\nspanish leather girdles and hangers for 9s 6d and 2 pair russet girdles and hanger for 4s \r\n8d, 6 curl wasts for 4s 6d, 8 stich velvet wasts for 9s 4d, 2 doz dog collars for 4s 8d; 1 doz \r\nbowles for 16d, 1 doz slippes for 2s 4d; \r\n\r\nOn 2 June 1600 at london he bought 1 doz eurle wasts for 7s 6d, 6 loopt wasts for 5s, 1 \r\ndoz blakc wasts for 4s, 6 fringed wasts for 2s 6d, 1 doz stripte wasts for 20d, 1 doz dog-\r\ncollars for 2s 6d, 1 doz slippes for 2s 6d, 2 spanish leather girdles and hangers for 5s;\r\n\r\nOn 12 july 1600 @ london, 1 doz dog collars for 2s 6d., 1 doz slippes for 2s 6d, and on 22 \r\naug 1600 at london, 1 gross of cards for 27s, 6 russet leather girdles and hanger for 18s;\r\n \r\nOn 3 dec 1600 at london he bought a gross of dice for 30s. on 12 dec 1600 another gross \r\nof dice for 30s. \r\n\r\nOn 1 jjan 1600 (sic) he borrowed 2s 10d.\r\n\r\nCLOTHING BELTS
98	LONDON	0	ASHTON JOHN				GOLDEN THOS	FEARNHEAD	LANCS			YEOMAN	On 7 sept 1599 @ London (Cheap) def bought 9 1/2 virg blewe clothe for 85s 8d, 1 1/2 virg \r\nfrenche greene clothe for 22s 6d., 1 1/4 virg watchell kersey for 6s, 12 virg ashe colour \r\nkersey for 68s, 3/4 virg grasse greene kersey for 4s 3d, 2 1/2 virg mallard colour for 27s \r\n6d. \r\n\r\nOn 15 sept 1599 he bought 1 1/2 virg greene wash colour kersey for 8s 6d; 4 virg ashe \r\ncolour canvas for 10s 8d, 5 virg white holmes 5s 10d, 5 doz grene gallow lace for 16s 3d; 1 \r\nlb parrys thread for 2s 4d, 7/8 virg and mace, cloves, isinglas, cinamon nutmeg, caraway \r\nand hops. \r\n\r\nOn 12 dec 1600 @ london he borrowed 55s 8d. \r\n\r\nWOOLLEN CLOTH SPICES THREAD LINEN LACE CASH
99	DEVON	0	WOLCAST JOHN				WOODLEIGH JAMES	ASHBURTON	DEVON			GENT	On 28 may 40 eliz @ Honiton by script oblig he ack to owe £40 etc and second script for \r\n£40 on 19 june and 3rd script for £60 on 18 oct 42 eliz @ Honiton. In a bond appended to \r\nthe first def undertook to.. deliver...unto john wolcott... the full and just weight of 104 \r\nscore pounds of good and lawful white tynne boynd merchandable without thierle every \r\nhundred weighing onx score pounds by the queens majesties beame of Ashberton at or in \r\nthe 25 sept next... then void. Second bond is for repayment of a cash loan of £30 at the \r\nhouse of John Haleigh, inholder at or on 2 august next. Third bond binds James Woodley, \r\nPeter Wodley and Ric Drewe to deliver to John Wolcot 30 gallons of clean washed black tin - \r\n10 gallons on 10 jan next, at or in the clothmill there called minemill and on 27 march next \r\n10 gallons in the place aforesaid and on 6 june next following, 10 gallons in the place \r\naforesaid, then void etc. def claims he complied etc. \r\n\r\nTIN
100	LONDON	£4.00	HEYLEY ROGER				SACKVILE EDW	DORKING	SURREY			GENT	On 2 Mar 43 Eliz @ London def bought 4 oz silver twist and \r\nparchment lace for 31s 6d, 3/4 oz white sewing silk for 21d; on \r\n21 apr 43 Eliz at London 2 5/8 oz silk lace and silk for 5s 11d; \r\n4 1/2 oz silver parchment lace for 25s 6d, and on same day he \r\nborrowed 15s 4d.
101	LONDON	£13.33	SLAYNYE JOHN				KITCHYN RIC ALS STEELE	LONDON	LONDON	DALBY CHALKHAM	LEICS	YEOMAN	RK with Math Hickson of Plumyer Leics and Alex Robynson of Barron Leics ack pl that \r\nthey owe 8 tods of wool, price £12. RK with Robt Allat of Asarby in Leics owes 4 tods of \r\nwool. \r\n\r\nall three others also of london alias of x,y&z
102	LONDON	0	PIGGOTT THOS				ARNEY AMBROSE	NEWPORT	SALOP			CHAPMAN	On 16 apr 1601 at London (cheap) def bought 12 lb pepper for 56s; \r\n\r\nand on 15 may 1601 at londonhe bought 4 lb case nutmeg for 17s 4d, 4 lbs cinamon for \r\n16s 8d, 1/4 cwt prunes for 3s 6d, 7 lb raisins, 2s; 7 lb jurden almonds for 7s, 4 loves \r\nressyne sugar weighing 37 1/4 lb for 16s 6d; 3/4 hundred (weight) raisings for 18s 9d, 11 lb \r\n2oz corn powder for 8s 4d; a barrell for 8d; \r\n\r\non 28 may 1601, 6 lb pepper for 34s, \r\n\r\non 23 july 1601 24 lb pepper for £5.14.6.; & nutmeg, cinamon, cloves, mace, corn \r\npoweder, 1/2 cwt currants, and on same day he borrowed 5s 9 1/2 d. thos to recover.\r\n\r\nSPICES
103	LONDON	£12.00	BAYLYE WM				BARNES MARCUS	LYME	DORSET			CHAPMAN	On 5 june 1600 at London (Cheap) def bought 9 pieces of holland (linen cloth) containing \r\n106 3/4 ells for £17 2s 3d, 6 ells of bardford (linen) for 3s 7d and one piece brown \r\nsackcloth for 26s 6d, 1 piece bossen canvas for 18s, 3 pieces tufted canvas for 70s 6d \r\nand more canvas. \r\n\r\nOn 21 mar 1600 @ london he bought more canvas and other linens and on several \r\nsubsequent occasions similarly. Def satisfied him for £27.4.1d, leaving the £12. 
104	LONDON	£3.30	JAMES MARIE			WIDOW	LENNARD SAMPSON	LONDON	LONDON			ARMIGER	On 28 Feb 1600 @ London (Cheap) def bought 4 barrels of 6 shillings beer, for 24s; \r\n\r\non 4 mar 1600 he bought 6 barrels of 6s beer for 36s \r\n\r\nand on 18 mar 1600 he bought 1 barrel of the same for 6s to pay etc.
105	LONDON	£3.20	JAMES MARIE			WIDOW	OLDERWORTH WM	LINCOLNS INN	MIDDX			ARMIGER	On 25 Feb 1594 @ London def bought 3 barrels strong beer for 16s; on 26 mar 1595 he \r\nbought 2 barrels of 6s beer for 12s, and on 1 may 1595 2 barrels 6s beer for 12s and \r\non 18 june 1595, 3 barels 6s beer, and on 2 july 1595 2 of 6s. etc.
106	LONDON	£14.30	JAMES MARIE			WIDOW	DAVYSON WM	LONDON	LONDON			ARMIGER	Diverse quantities of 6s beer, 8s beer etc on diverse occasions.
