id	 COUNTY	 VALUE	 PLAINTIFF	 P_RESIDENCE	 P_COUNTY	 P_OCCUP	 DEFENDANT	 D_RESIDENCE	 D_COUNTY	 D_ALIAS_RES	 D_ALIAS_CO	 D_OCCUP	 DETAILS
81	LONDON	183	WYSTOWE ED	LONDON	LONDON	CITIZEN & GROCER	COLYNS JOHN	LONDON	LONDON			SHERMAN	On 10 February 1498 in London, parish of St Sepulchre the \r\ndefendant bought 3 pounds of saffron, 20 pounds of sugar and 3 \r\npounds of ginger for 75s.\r\n\r\nSPICES
82	MIDDX	2	FERROUR ANDREW	LONDON	LONDON	CITIZEN & CISSOR	HALLE THOS	IPSWICH	SUFFOLK			GENT	On 15 February 1497, at Westminster, the defendant bought 5 yards \r\nof silk called 'chamlet', 5 yards of linen called dyaper and 6 \r\nand three quarter ells of linen for 33s 4d - he also borrowed 6s \r\n8d.\r\n\r\nCASH
83	LONDON	75.03	WALKER MARCO	LONDON	LONDON	CITIZEN & GROCER	ODHAM JOHN	WISBEACH	LINCS			CHAPMAN/MERCHANT	On 11 March 1482 in London, parish of St Sepulchre the defendant \r\nbought a butt of wax (gyre) for £5.13.4 - of which he paid 46s \r\n8d.\r\n
84	LONDON	98	WALKER MARCO	LONDON	LONDON	CITIZEN & GROCER	WESTERFELD EDMUND	BISHOPS LYNN	NORFOLK			CHAPMAN	On 13 November 1482 in London, parish of St Sepulchre, the \r\ndefendant bought 56 pounds of woollen cotton. 4 and a half dozen \r\npeppers, 12 pounds of ginger, 100 pounds RASENIOR DE CORARIS, 50 \r\npounds of AMIGDALORUM, 3 pounds of SAUNDERS (sandal-wood?), 4 \r\npounds of saffron, 25 pounds of RYSE (rice), 2 SETTAS FITORUM \r\nORASINORUM (rosary beads?), 2 pounds of COMFETYS (confits? \r\nsweets?), 12 pounds of GALLEZ (galettes ? wafers?), 3 bundlles of \r\npaper, 100 pounds of OYNET SEDDE (onion seed?), 6 ells of linen \r\ncloth called canvas, 12 pounds of suger, 5 pounds of cloves and 4 \r\npounds of cinnamon for £14.10.0 of which he paid \r\n£12.2.8.\r\n\r\nSPICES ONION SEED COTTON WOOL
85	LONDON	12	SKIPWYTH JOHN	LONDON	LONDON	DRAPER	COPYNGE RIC	LITTLE WALSINGHAM	NORFOLK			INNHOLDER	On 12 April 1497, in London, parish of St Sepulchre, the \r\ndefendant bought a dol of red wine, a pipe of claret and a pipe \r\nof white wine for said £12.\r\n
86	DEVON	66	ATWYLL JOHN				BEAMONT JOHN	ANETON GYFFARD	DEVON			CLERK	On 10 January 1499, at Exeter, the defendant bought 12 and a half \r\nyards of woollen cloth of green colour (uride coloris) for \r\n£6.5.0.\r\n
87	LONDON	30	HENEGE JOHN	LONDON	LONDON	HABERDASHER	HUNGERFORD ANTHONY	CIRENCESTER	GLOUCS			GENT	On 20 February 1498 in London in the parish of St Martin, in \r\nIronmonger lane, the defendant bought 30 ells of linen cloth \r\ncalled Holland cloth, 25 ells of linen cloth called holland \r\ncloth, 22 ells of linen cloth called holland cloth [various other \r\nlenghts of holland cloth], 32 ells of 'Bressel' cloth, also raw \r\ncloth, Brabant cloth, silk dornay, Cypres satin, belts, fine \r\nlace, worsted lace, chekard lace, bastard lace, 6 dozen needles, \r\na bale of madder, half a dozen GYPREZ, a large cist, SAISNALL - \r\nwhich came to a toal of £27.19.8. In addition the defendnat \r\nborrowed £2.0.4.\r\n\r\nPINS/NEEDLES DYESTUFFS FURNITURE CASH
88	LONDON	96	PROUDE JOHN	LONDON	LONDON	CITIZEN & HABERDASHER	MARISSO RAPHAEL & GENTYLL JERE	LONDON	LONDON			MERCHANTS	On 20 September 1495, in London, parish of St Sepulchre, the \r\nplaintiff bought from the defendants 160 yards of silk called \r\n'tynsyll satin' but did not receive said goods.\r\n
89	LONDON	2	GASSYNGTWAYTE ALEX EXECS OF	LONDON	LONDON	CITIZEN & CISSOR	ESTGATE ROGER	LONDON	LONDON			GENT	On 31 May 1485, in London, parish of St Dunstan in the West, the \r\ndefendant bought two and a quarter yards of woollen cloth \r\ncoloured green, one a a half yards of woollen cloth coloured \r\ntawney, one and a quarter yards of black lining, 4 yards of \r\ntawney medley and one and a half yards of tawney kersey for \r\n40s.\r\n
90	LONDON	76.03	BARLEY NIC	LONDON	LONDON	CITIZEN & PELLIPAR	POKERYNG ED	STEPNEY	MIDDX			KNIGHT	On 3 December 1485 in London, parish of St Sepulchre, the \r\ndefendant bought 4 hoods of black 'bugge' (buckram?) and 5 hoods \r\nof SCHANKYS FOR SAID £4.6.8.\r\n\r\nFurs
91	ESSEX	5	HUBBERD WM				FULLER WM	COLCHESTER	ESSEX			MERCER	On 20 March 1498 at Colchester the defendant was given woollen \r\ncloth containing 24 QUERC' price 100s and he failed to redelived \r\nit\r\n
92	STAFFS	2	TURNER THOS				HYGGYS WM	YOXHALL	STAFFS			HUSBANDMAN	On 1 May 1498 at Yoxall (Staffs), the defendant bought 4 oxen.\r\n\r\nCATTLE
93	ESSEX	2	ADLYNGFLETE WM				FYNCHELEY JOHN	PENKRIDGE	STAFFS			YEOMAN	On 20 July 1498 at Stratford Langthorne (Essex), defendant bought \r\ntwo featherbeds ? (plumalia), one 'supertectile' of tapestry work \r\nfor 35s 4d and also on the same day at Westminster he borrowed 4s \r\nand 8d from the plaintiff.\r\n\r\nBEDDING CASH
94	LONDON	11	WESTON WM	LONDON	LONDON	CITIZEN & MERCER	WELDE RIC	BISHOPS LYNN	NORF				On the 9 sept ---- (no year), in London , parish of St Sepulchre, \r\nthe defendant bought Holland cloth, canvas, Normandy cloth, \r\n'nyssyll', cotton. 6,000 pins (sprint'?), 2 pounds of thread and \r\nhalf a pleat (plitam) of lawne for £14.\r\n\r\nLINEN SILK PINS/NEEDLES
1	NHANTS	20	MOUNTEGU THOS, ETC	BARNWELL	NHANTS		MELLOR RIC	NOTTINGHAM	NOTTS			BELLMAKER	20 MARCH 1498 - At Barnwell St Andrews (Nhants) - Letter of \r\nObligation, by which Richard and William Mellor were bound to \r\nmake two bells 'well and sufficiently, a treble and a meane with \r\nthe clappers according to a tenor' in the church of St Andrew, \r\nBarnwell. The bells to be made in the space of a year and a dya \r\nand to be 'sufficient of tone and sound'	
